# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.13666560 
0.000000  0.696676 
0.001367  0.698309 
0.002733  0.703181 
0.004100  0.711215 
0.005467  0.722285 
0.006833  0.736228 
0.008200  0.752851 
0.009567  0.771941 
0.010933  0.793276 
0.012300  0.816629 
0.013667  0.841779 
0.015033  0.868510 
0.016400  0.896619 
0.017767  0.925916 
0.019133  0.956222 
0.020500  0.987375 
0.021867  1.019224 
0.023233  1.051629 
0.024600  1.084463 
0.025966  1.117604 
0.027333  1.150938 
0.028700  1.184348 
0.030066  1.217700 
0.031433  1.250794 
0.032800  1.282821 
0.034166  1.299099 
0.035533  1.309567 
0.036900  1.320283 
0.038266  1.331345 
0.039633  1.342756 
0.041000  1.354503 
0.042366  1.366573 
0.043733  1.378949 
0.045100  1.391614 
0.046466  1.404549 
0.047833  1.417727 
0.049200  1.431059 
0.050566  1.442516 
0.051933  1.450421 
0.053300  1.458020 
0.054666  1.465503 
0.056033  1.472904 
0.057399  1.480243 
0.058766  1.487539 
0.060133  1.494813 
0.061499  1.502085 
0.062866  1.509375 
0.064233  1.516704 
0.065600  1.524092 
0.066966  1.531561 
0.068333  1.539129 
0.069699  1.546817 
0.071066  1.554641 
0.072433  1.562620 
0.073799  1.570768 
0.075166  1.579101 
0.076533  1.587630 
0.077899  1.596367 
0.079266  1.605322 
0.080633  1.614501 
0.081999  1.623911 
0.083366  1.633557 
0.084733  1.643440 
0.086099  1.653561 
0.087466  1.663918 
0.088833  1.674510 
0.090199  1.685330 
0.091566  1.696374 
0.092933  1.707632 
0.094299  1.719096 
0.095666  1.730755 
0.097032  1.742596 
0.098399  1.754605 
0.099766  1.766768 
0.101133  1.779068 
0.102499  1.791489 
0.103866  1.804010 
0.105233  1.816614 
0.106599  1.829279 
0.107966  1.841985 
0.109332  1.854709 
0.110699  1.867430 
0.112066  1.880123 
0.113432  1.892765 
0.114799  1.905332 
0.116166  1.917799 
0.117532  1.930143 
0.118899  1.942338 
0.120266  1.954360 
0.121632  1.966185 
0.122999  1.977787 
0.124366  1.989142 
0.125732  2.000227 
0.127099  2.011019 
0.128466  2.021492 
0.129832  2.031625 
0.131199  2.041391 
0.132566  2.050764 
0.133932  2.059705 
0.135299  2.068111 
0.136666  2.074255 


0.000000  1.182785 
0.001367  1.182930 
0.002733  1.183367 
0.004100  1.184101 
0.005467  1.185141 
0.006833  1.186496 
0.008200  1.188181 
0.009567  1.190211 
0.010933  1.192601 
0.012300  1.195368 
0.013667  1.198529 
0.015033  1.202100 
0.016400  1.206096 
0.017767  1.210529 
0.019133  1.215412 
0.020500  1.220751 
0.021867  1.226555 
0.023233  1.232827 
0.024600  1.239570 
0.025966  1.246782 
0.027333  1.254462 
0.028700  1.262607 
0.030066  1.271220 
0.031433  1.280328 
0.032800  1.290431 
0.034166  1.315303 
0.035533  1.341160 
0.036900  1.356671 
0.038266  1.367293 
0.039633  1.376673 
0.041000  1.385592 
0.042366  1.394254 
0.043733  1.402730 
0.045100  1.411049 
0.046466  1.419227 
0.047833  1.427285 
0.049200  1.435300 
0.050566  1.445295 
0.051933  1.458940 
0.053300  1.472986 
0.054666  1.487239 
0.056033  1.501667 
0.057399  1.516251 
0.058766  1.530976 
0.060133  1.545825 
0.061499  1.560786 
0.062866  1.575844 
0.064233  1.590985 
0.065600  1.606195 
0.066966  1.621462 
0.068333  1.636770 
0.069699  1.652107 
0.071066  1.667460 
0.072433  1.682813 
0.073799  1.698154 
0.075166  1.713469 
0.076533  1.728743 
0.077899  1.743962 
0.079266  1.759112 
0.080633  1.774178 
0.081999  1.789146 
0.083366  1.804002 
0.084733  1.818731 
0.086099  1.833318 
0.087466  1.847748 
0.088833  1.862008 
0.090199  1.876082 
0.091566  1.889957 
0.092933  1.903618 
0.094299  1.917051 
0.095666  1.930244 
0.097032  1.943182 
0.098399  1.955852 
0.099766  1.968243 
0.101133  1.980342 
0.102499  1.992137 
0.103866  2.003617 
0.105233  2.014769 
0.106599  2.025582 
0.107966  2.036044 
0.109332  2.046140 
0.110699  2.055856 
0.112066  2.065171 
0.113432  2.074061 
0.114799  2.082491 
0.116166  2.090408 
0.117532  2.097737 
0.118899  2.104360 
0.120266  2.110096 
0.121632  2.114686 
0.122999  2.117810 
0.124366  2.119199 
0.125732  2.118793 
0.127099  2.116779 
0.128466  2.113453 
0.129832  2.109086 
0.131199  2.103880 
0.132566  2.097974 
0.133932  2.091473 
0.135299  2.084517 
0.136666  2.078855 


0.000000  1.206104 
0.001367  1.206378 
0.002733  1.207201 
0.004100  1.208568 
0.005467  1.210475 
0.006833  1.212915 
0.008200  1.215878 
0.009567  1.219353 
0.010933  1.223327 
0.012300  1.227784 
0.013667  1.232705 
0.015033  1.238072 
0.016400  1.243863 
0.017767  1.250054 
0.019133  1.256621 
0.020500  1.263538 
0.021867  1.270778 
0.023233  1.278315 
0.024600  1.286122 
0.025966  1.294174 
0.027333  1.302452 
0.028700  1.310941 
0.030066  1.319648 
0.031433  1.328626 
0.032800  1.338071 
0.034166  1.348780 
0.035533  1.364499 
0.036900  1.390399 
0.038266  1.420833 
0.039633  1.452066 
0.041000  1.483246 
0.042366  1.514105 
0.043733  1.544518 
0.045100  1.574409 
0.046466  1.603721 
