# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.15105140 
0.000000  2.356005 
0.001510  2.353081 
0.003021  2.349659 
0.004531  2.345890 
0.006042  2.341691 
0.007553  2.336963 
0.009063  2.331602 
0.010574  2.325491 
0.012084  2.318515 
0.013595  2.310557 
0.015105  2.301510 
0.016616  2.291275 
0.018126  2.279774 
0.019637  2.266948 
0.021147  2.252762 
0.022658  2.237202 
0.024168  2.220273 
0.025679  2.202000 
0.027189  2.182420 
0.028700  2.161580 
0.030210  2.139533 
0.031721  2.116335 
0.033231  2.092045 
0.034742  2.066721 
0.036252  2.040421 
0.037763  2.013199 
0.039273  1.985110 
0.040784  1.956206 
0.042294  1.926535 
0.043805  1.896146 
0.045315  1.865084 
0.046826  1.833395 
0.048336  1.801121 
0.049847  1.768303 
0.051358  1.734983 
0.052868  1.701198 
0.054379  1.666988 
0.055889  1.632390 
0.057399  1.597440 
0.058910  1.562174 
0.060421  1.526626 
0.061931  1.490830 
0.063442  1.454819 
0.064952  1.418627 
0.066463  1.382284 
0.067973  1.345822 
0.069484  1.309272 
0.070994  1.272663 
0.072505  1.236026 
0.074015  1.199388 
0.075526  1.162779 
0.077036  1.126227 
0.078547  1.089759 
0.080057  1.053404 
0.081568  1.017187 
0.083078  0.981137 
0.084589  0.945279 
0.086099  0.909640 
0.087610  0.874247 
0.089120  0.839125 
0.090631  0.804301 
0.092141  0.769801 
0.093652  0.735650 
0.095162  0.701874 
0.096673  0.668500 
0.098183  0.635552 
0.099694  0.603058 
0.101204  0.571042 
0.102715  0.539530 
0.104225  0.508547 
0.105736  0.478119 
0.107246  0.448272 
0.108757  0.419029 
0.110268  0.390415 
0.111778  0.362454 
0.113289  0.335168 
0.114799  0.308579 
0.116310  0.282707 
0.117820  0.257568 
0.119331  0.233176 
0.120841  0.209539 
0.122352  0.186658 
0.123862  0.164521 
0.125373  0.143099 
0.126883  0.122331 
0.128394  0.102097 
0.129904  0.082158 
0.131415  0.061982 
0.132925  0.040007 
0.134436  -0.008285 
0.135946  -0.035444 
0.137457  -0.045251 
0.138967  -0.050221 
0.140478  -0.052458 
0.141988  -0.052926 
0.143499  -0.052193 
0.145009  -0.050606 
0.146520  -0.048259 
0.148030  -0.044658 
0.149541  -0.037261 
0.151051  -0.001033 


0.000000  2.356493 
0.001510  2.359212 
0.003021  2.362008 
0.004531  2.364697 
0.006042  2.367311 
0.007553  2.369875 
0.009063  2.372406 
0.010574  2.374917 
0.012084  2.377415 
0.013595  2.379903 
0.015105  2.382380 
0.016616  2.384841 
0.018126  2.387280 
0.019637  2.389686 
0.021147  2.392050 
0.022658  2.394359 
0.024168  2.396599 
0.025679  2.398755 
0.027189  2.400811 
0.028700  2.402752 
0.030210  2.404560 
0.031721  2.406217 
0.033231  2.407704 
0.034742  2.409004 
0.036252  2.410095 
0.037763  2.410959 
0.039273  2.411573 
0.040784  2.411915 
0.042294  2.411962 
0.043805  2.411689 
0.045315  2.411071 
0.046826  2.410080 
0.048336  2.408686 
0.049847  2.406858 
0.051358  2.404562 
0.052868  2.401761 
0.054379  2.398411 
0.055889  2.394462 
0.057399  2.389821 
0.058910  2.384021 
0.060421  2.363376 
0.061931  2.330050 
0.063442  2.295835 
0.064952  2.261117 
0.066463  2.225993 
0.067973  2.190518 
0.069484  2.154731 
0.070994  2.118665 
0.072505  2.082345 
0.074015  2.045792 
0.075526  2.009024 
0.077036  1.972055 
0.078547  1.934899 
0.080057  1.897566 
0.081568  1.860065 
0.083078  1.822403 
