# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.07497370 
0.000000  2.074255 
0.000750  2.074280 
0.001499  2.074356 
0.002249  2.074481 
0.002999  2.074656 
0.003749  2.074878 
0.004498  2.075146 
0.005248  2.075459 
0.005998  2.075814 
0.006748  2.076209 
0.007497  2.076640 
0.008247  2.077104 
0.008997  2.077598 
0.009747  2.078118 
0.010496  2.078659 
0.011246  2.079217 
0.011996  2.079785 
0.012745  2.080360 
0.013495  2.080934 
0.014245  2.081502 
0.014995  2.082056 
0.015745  2.082590 
0.016494  2.083097 
0.017244  2.083569 
0.017994  2.083997 
0.018743  2.084374 
0.019493  2.084692 
0.020243  2.084942 
0.020993  2.085117 
0.021742  2.085207 
0.022492  2.085207 
0.023242  2.085108 
0.023992  2.084903 
0.024741  2.084587 
0.025491  2.084153 
0.026241  2.083598 
0.026991  2.082917 
0.027740  2.082107 
0.028490  2.081164 
0.029240  2.080086 
0.029989  2.078871 
0.030739  2.077516 
0.031489  2.076023 
0.032239  2.074396 
0.032988  2.072644 
0.033738  2.070777 
0.034488  2.068804 
0.035238  2.066732 
0.035987  2.064570 
0.036737  2.062324 
0.037487  2.060000 
0.038237  2.057604 
0.038986  2.055143 
0.039736  2.052621 
0.040486  2.050045 
0.041236  2.047419 
0.041985  2.044750 
0.042735  2.042042 
0.043485  2.039301 
0.044235  2.036532 
0.044984  2.033739 
0.045734  2.030929 
0.046484  2.028106 
0.047233  2.025275 
0.047983  2.022441 
0.048733  2.019609 
0.049483  2.016785 
0.050232  2.013972 
0.050982  2.011176 
0.051732  2.008402 
0.052482  2.005655 
0.053231  2.002940 
0.053981  2.000261 
0.054731  1.997624 
0.055481  1.995032 
0.056230  1.992492 
0.056980  1.990007 
0.057730  1.987582 
0.058479  1.985221 
0.059229  1.982930 
0.059979  1.980713 
0.060729  1.978573 
0.061478  1.976515 
0.062228  1.974543 
0.062978  1.972661 
0.063728  1.970872 
0.064477  1.969181 
0.065227  1.967591 
0.065977  1.966105 
0.066727  1.964725 
0.067476  1.963456 
0.068226  1.962299 
0.068976  1.961257 
0.069725  1.960333 
0.070475  1.959528 
0.071225  1.958843 
0.071975  1.958281 
0.072724  1.957843 
0.073474  1.957529 
0.074224  1.957341 
0.074974  1.957278 


0.000000  2.078855 
0.000750  2.078879 
0.001499  2.078950 
0.002249  2.079068 
0.002999  2.079231 
0.003749  2.079439 
0.004498  2.079689 
0.005248  2.079981 
0.005998  2.080311 
0.006748  2.080676 
0.007497  2.081075 
0.008247  2.081502 
0.008997  2.081954 
0.009747  2.082426 
0.010496  2.082915 
0.011246  2.083414 
0.011996  2.083919 
0.012745  2.084423 
0.013495  2.084920 
0.014245  2.085403 
0.014995  2.085866 
0.015745  2.086300 
0.016494  2.086698 
0.017244  2.087053 
0.017994  2.087356 
0.018743  2.087598 
0.019493  2.087773 
0.020243  2.087872 
0.020993  2.087888 
0.021742  2.087812 
0.022492  2.087639 
0.023242  2.087362 
0.023992  2.086976 
0.024741  2.086478 
0.025491  2.085862 
0.026241  2.085129 
0.026991  2.084276 
0.027740  2.083304 
0.028490  2.082217 
0.029240  2.081018 
0.029989  2.079712 
0.030739  2.078305 
0.031489  2.076803 
0.032239  2.075208 
0.032988  2.073520 
0.033738  2.071737 
0.034488  2.069862 
0.035238  2.067896 
0.035987  2.065841 
0.036737  2.063703 
0.037487  2.061486 
0.038237  2.059195 
0.038986  2.056835 
0.039736  2.054411 
0.040486  2.051929 
0.041236  2.049394 
0.041985  2.046811 
0.042735  2.044187 
0.043485  2.041526 
0.044235  2.038833 
0.044984  2.036115 
0.045734  2.033375 
0.046484  2.030620 
0.047233  2.027854 
0.047983  2.025083 
0.048733  2.022311 
0.049483  2.019544 
0.050232  2.016787 
0.050982  2.014044 
0.051732  2.011321 
0.052482  2.008623 
0.053231  2.005955 
0.053981  2.003321 
0.054731  2.000727 
0.055481  1.998177 
0.056230  1.995676 
0.056980  1.993228 
0.057730  1.990839 
0.058479  1.988513 
0.059229  1.986255 
0.059979  1.984068 
0.060729  1.981957 
0.061478  1.979927 
0.062228  1.977981 
0.062978  1.976124 
0.063728  1.974358 
0.064477  1.972688 
0.065227  1.971118 
0.065977  1.969650 
0.066727  1.968288 
0.067476  1.967034 
0.068226  1.965891 
0.068976  1.964861 
0.069725  1.963948 
0.070475  1.963152 
0.071225  1.962476 
0.071975  1.961920 
