# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.17228820 
0.000000  -0.001033 
0.001723  -0.038110 
0.003446  -0.049359 
0.005169  -0.057395 
0.006892  -0.064311 
0.008614  -0.070492 
0.010337  -0.075794 
0.012060  -0.079877 
0.013783  -0.082286 
0.015506  -0.082442 
0.017229  -0.079536 
0.018952  -0.072248 
0.020675  -0.057740 
0.022398  -0.022839 
0.024120  0.057998 
0.025843  0.092016 
0.027566  0.122184 
0.029289  0.151279 
0.031012  0.180179 
0.032735  0.209256 
0.034458  0.238681 
0.036180  0.268534 
0.037903  0.298847 
0.039626  0.329626 
0.041349  0.360863 
0.043072  0.392540 
0.044795  0.424640 
0.046518  0.457142 
0.048241  0.490026 
0.049964  0.523275 
0.051687  0.556873 
0.053409  0.590807 
0.055132  0.625066 
0.056855  0.659641 
0.058578  0.694524 
0.060301  0.729710 
0.062024  0.765192 
0.063747  0.800963 
0.065469  0.837017 
0.067192  0.873344 
0.068915  0.909935 
0.070638  0.946776 
0.072361  0.983850 
0.074084  1.021138 
0.075807  1.058616 
0.077530  1.096255 
0.079253  1.134024 
0.080976  1.171884 
0.082698  1.209794 
0.084421  1.247706 
0.086144  1.285568 
0.087867  1.323323 
0.089590  1.360910 
0.091313  1.398264 
0.093036  1.435316 
0.094758  1.471997 
0.096481  1.508233 
0.098204  1.543954 
0.099927  1.579088 
0.101650  1.613568 
0.103373  1.647331 
0.105096  1.680317 
0.106819  1.712476 
0.108542  1.743764 
0.110265  1.774144 
0.111987  1.803591 
0.113710  1.832085 
0.115433  1.859614 
0.117156  1.886175 
0.118879  1.911769 
0.120602  1.936401 
0.122325  1.960081 
0.124048  1.982821 
0.125770  2.004633 
0.127493  2.025530 
0.129216  2.045525 
0.130939  2.064630 
0.132662  2.082855 
0.134385  2.100212 
0.136108  2.116708 
0.137831  2.132351 
0.139553  2.147148 
0.141276  2.161105 
0.142999  2.174231 
0.144722  2.186530 
0.146445  2.198011 
0.148168  2.208682 
0.149891  2.218551 
0.151614  2.227630 
0.153336  2.235930 
0.155059  2.243465 
0.156782  2.250250 
0.158505  2.256301 
0.160228  2.261640 
0.161951  2.266289 
0.163674  2.270279 
0.165397  2.273647 
0.167120  2.276444 
0.168843  2.278729 
0.170565  2.280525 
0.172288  2.281423 


0.000000  -0.000767 
0.001723  0.043851 
0.003446  0.072108 
0.005169  0.099532 
0.006892  0.127321 
0.008614  0.155543 
0.010337  0.184116 
0.012060  0.212964 
0.013783  0.242036 
0.015506  0.271300 
0.017229  0.300739 
0.018952  0.330349 
0.020675  0.360134 
0.022398  0.390104 
0.024120  0.420273 
0.025843  0.450660 
0.027566  0.481288 
0.029289  0.512180 
0.031012  0.543363 
0.032735  0.574863 
0.034458  0.606708 
0.036180  0.638922 
0.037903  0.671532 
0.039626  0.704559 
0.041349  0.738021 
0.043072  0.771934 
0.044795  0.806308 
0.046518  0.841148 
0.048241  0.876454 
0.049964  0.912219 
0.051687  0.948431 
0.053409  0.985072 
0.055132  1.022116 
0.056855  1.059536 
0.058578  1.097294 
0.060301  1.135353 
0.062024  1.173668 
0.063747  1.212194 
0.065469  1.250880 
0.067192  1.289675 
0.068915  1.328527 
0.070638  1.367383 
0.072361  1.406190 
0.074084  1.444896 
0.075807  1.483451 
0.077530  1.521808 
0.079253  1.559921 
0.080976  1.597749 
0.082698  1.635255 
0.084421  1.672407 
0.086144  1.709176 
0.087867  1.745541 
0.089590  1.781482 
0.091313  1.816988 
0.093036  1.852049 
0.094758  1.886660 
0.096481  1.920819 
0.098204  1.954524 
0.099927  1.987773 
0.101650  2.020562 
0.103373  2.052885 
0.105096  2.084728 
0.106819  2.116073 
0.108542  2.146893 
0.110265  2.177153 
0.111987  2.206812 
0.113710  2.235819 
0.115433  2.264119 
0.117156  2.291651 
0.118879  2.318352 
0.120602  2.344156 
0.122325  2.368986 
0.124048  2.392642 
0.125770  2.405903 
0.127493  2.404351 
0.129216  2.401808 
0.130939  2.398563 
0.132662  2.394662 
0.134385  2.390147 
0.136108  2.385077 
0.137831  2.379521 
0.139553  2.373563 
0.141276  2.367291 
0.142999  2.360800 
0.144722  2.354182 
0.146445  2.347529 
0.148168  2.340926 
0.149891  2.334453 
0.151614  2.328183 
0.153336  2.322182 
0.155059  2.316507 
0.156782  2.311208 
0.158505  2.306326 
0.160228  2.301895 
0.161951  2.297936 
0.163674  2.294462 
0.165397  2.291468 
0.167120  2.288932 
0.168843  2.286818 
0.170565  2.285118 
0.172288  2.284251 


0.000000  -0.000532 
0.001723  0.081323 
0.003446  0.159901 
0.005169  0.238950 
0.006892  0.317949 
0.008614  0.396741 
0.010337  0.475233 
0.012060  0.553346 
0.013783  0.631010 
0.015506  0.708157 
0.017229  0.784721 
0.018952  0.860639 
0.020675  0.935846 
0.022398  1.010281 
0.024120  1.083881 
0.025843  1.156584 
0.027566  1.228328 
0.029289  1.299052 
0.031012  1.368692 
0.032735  1.437185 
0.034458  1.504466 
0.036180  1.570470 
0.037903  1.635126 
0.039626  1.698361 
0.041349  1.760098 
0.043072  1.820252 
0.044795  1.878731 
0.046518  1.935431 
0.048241  1.990231 
0.049964  2.042991 
0.051687  2.093541 
0.053409  2.141673 
0.055132  2.187120 
0.056855  2.229548 
0.058578  2.268524 
0.060301  2.303520 
0.062024  2.333940 
0.063747  2.359238 
0.065469  2.379122 
0.067192  2.393753 
0.068915  2.403758 
0.070638  2.410031 
0.072361  2.413481 
0.074084  2.414884 
0.075807  2.414843 
0.077530  2.413811 
0.079253  2.412126 
0.080976  2.410046 
0.082698  2.407766 
0.084421  2.405443 
0.086144  2.403198 
0.087867  2.401128 
0.089590  2.399308 
0.091313  2.397795 
0.093036  2.396627 
0.094758  2.395827 
0.096481  2.395405 
0.098204  2.395356 
0.099927  2.395661 
0.101650  2.396292 
0.103373  2.397211 
0.105096  2.398370 
0.106819  2.399713 
0.108542  2.401180 
0.110265  2.402702 
0.111987  2.404208 
0.113710  2.405623 
0.115433  2.406872 
0.117156  2.407875 
0.118879  2.408559 
0.120602  2.408853 
0.122325  2.408706 
0.124048  2.408203 
0.125770  2.416466 
0.127493  2.437839 
0.129216  2.458454 
0.130939  2.478001 
0.132662  2.496450 
0.134385  2.513799 
0.136108  2.530064 
0.137831  2.545266 
0.139553  2.559435 
0.141276  2.572606 
0.142999  2.584817 
0.144722  2.596106 
0.146445  2.606514 
0.148168  2.616079 
0.149891  2.624838 
0.151614  2.632827 
0.153336  2.640079 
0.155059  2.646621 
0.156782  2.652482 
0.158505  2.657684 
0.160228  2.662251 
0.161951  2.666202 
0.163674  2.669557 
0.165397  2.672339 
0.167120  2.674572 
0.168843  2.676286 
0.170565  2.677508 
0.172288  2.678105 


0.000000  2.640523 
0.001723  2.640514 
0.003446  2.640484 
0.005169  2.640416 
0.006892  2.640289 
0.008614  2.640069 
0.010337  2.639721 
0.012060  2.639205 
0.013783  2.638479 
0.015506  2.637504 
0.017229  2.636246 
0.018952  2.634675 
0.020675  2.632772 
0.022398  2.630525 
0.024120  2.627933 
0.025843  2.625004 
0.027566  2.621756 
0.029289  2.618214 
0.031012  2.614413 
0.032735  2.610389 
0.034458  2.606186 
0.036180  2.601851 
0.037903  2.597431 
0.039626  2.592978 
0.041349  2.588545 
0.043072  2.584189 
0.044795  2.579969 
0.046518  2.575952 
0.048241  2.572215 
0.049964  2.568851 
0.051687  2.565974 
0.053409  2.563737 
0.055132  2.562339 
0.056855  2.562053 
0.058578  2.563240 
0.060301  2.566365 
0.062024  2.571960 
0.063747  2.580522 
0.065469  2.592302 
0.067192  2.607121 
0.068915  2.624358 
0.070638  2.643158 
0.072361  2.662683 
0.074084  2.682268 
0.075807  2.701459 
0.077530  2.719985 
0.079253  2.737721 
0.080976  2.754641 
0.082698  2.770786 
0.084421  2.786239 
0.086144  2.801097 
0.087867  2.815458 
0.089590  2.829391 
0.091313  2.842894 
0.093036  2.855775 
0.094758  2.867151 
0.096481  2.873780 
0.098204  2.872036 
0.099927  2.865391 
0.101650  2.856899 
0.103373  2.847500 
0.105096  2.837530 
0.106819  2.827163 
0.108542  2.816519 
0.110265  2.805699 
0.111987  2.794798 
0.113710  2.783909 
0.115433  2.773126 
0.117156  2.762544 
0.118879  2.752257 
0.120602  2.742359 
0.122325  2.732943 
0.124048  2.724094 
0.125770  2.715887 
0.127493  2.708389 
0.129216  2.701646 
0.130939  2.695690 
0.132662  2.690530 
0.134385  2.686156 
0.136108  2.682540 
0.137831  2.679637 
0.139553  2.677388 
0.141276  2.675728 
0.142999  2.674587 
0.144722  2.673891 
0.146445  2.673570 
0.148168  2.673555 
0.149891  2.673784 
0.151614  2.674197 
0.153336  2.674743 
0.155059  2.675374 
0.156782  2.676048 
0.158505  2.676726 
0.160228  2.677376 
0.161951  2.677966 
0.163674  2.678468 
0.165397  2.678853 
0.167120  2.679089 
0.168843  2.679142 
0.170565  2.678982 
0.172288  2.678739 


0.000000  2.826554 
0.001723  2.826976 
0.003446  2.828240 
0.005169  2.830341 
0.006892  2.833267 
0.008614  2.837004 
0.010337  2.841532 
0.012060  2.846825 
0.013783  2.852850 
0.015506  2.859569 
0.017229  2.866936 
0.018952  2.874899 
0.020675  2.883395 
0.022398  2.892356 
0.024120  2.901706 
0.025843  2.911361 
0.027566  2.921225 
0.029289  2.931197 
0.031012  2.941160 
0.032735  2.950988 
0.034458  2.960541 
0.036180  2.969665 
0.037903  2.978195 
0.039626  2.985961 
0.041349  2.992797 
0.043072  2.998557 
0.044795  3.003121 
0.046518  3.006417 
0.048241  3.008416 
0.049964  3.009142 
0.051687  3.008664 
0.053409  3.007088 
0.055132  3.004555 
0.056855  3.001226 
0.058578  2.997272 
0.060301  2.992869 
0.062024  2.988182 
0.063747  2.983364 
0.065469  2.978544 
0.067192  2.973826 
0.068915  2.969282 
0.070638  2.964951 
0.072361  2.960841 
0.074084  2.956926 
0.075807  2.953154 
0.077530  2.949451 
0.079253  2.945726 
0.080976  2.941884 
0.082698  2.937831 
0.084421  2.933484 
0.086144  2.928776 
0.087867  2.923669 
0.089590  2.918167 
0.091313  2.912353 
0.093036  2.906513 
0.094758  2.901623 
0.096481  2.901020 
0.098204  2.908427 
0.099927  2.920468 
0.101650  2.934188 
0.103373  2.948742 
0.105096  2.963893 
0.106819  2.979567 
0.108542  2.995742 
0.110265  3.012417 
0.111987  3.029600 
0.113710  3.047296 
0.115433  3.065513 
0.117156  3.084250 
0.118879  3.103502 
0.120602  3.123258 
0.122325  3.143496 
0.124048  3.164181 
0.125770  3.185272 
0.127493  3.206709 
0.129216  3.228423 
0.130939  3.250331 
0.132662  3.272338 
0.134385  3.294337 
0.136108  3.316213 
0.137831  3.337845 
0.139553  3.359109 
0.141276  3.379880 
0.142999  3.400043 
0.144722  3.419487 
0.146445  3.438122 
0.148168  3.455871 
0.149891  3.472681 
0.151614  3.488523 
0.153336  3.503389 
0.155059  3.517290 
0.156782  3.530256 
0.158505  3.542329 
0.160228  3.553559 
0.161951  3.564002 
0.163674  3.573713 
0.165397  3.582746 
0.167120  3.591149 
0.168843  3.598967 
0.170565  3.606238 
0.172288  3.612954 


0.000000  2.941143 
0.001723  2.941268 
0.003446  2.941649 
0.005169  2.942302 
0.006892  2.943252 
0.008614  2.944534 
0.010337  2.946189 
0.012060  2.948263 
0.013783  2.950802 
0.015506  2.953852 
0.017229  2.957453 
0.018952  2.961637 
0.020675  2.966428 
0.022398  2.971831 
0.024120  2.977839 
0.025843  2.984424 
0.027566  2.991539 
0.029289  2.999118 
0.031012  3.007077 
0.032735  3.015318 
0.034458  3.023733 
0.036180  3.032219 
0.037903  3.040683 
0.039626  3.049054 
0.041349  3.057290 
0.043072  3.065373 
0.044795  3.073307 
0.046518  3.081109 
0.048241  3.088806 
0.049964  3.096426 
0.051687  3.104005 
0.053409  3.111582 
0.055132  3.119198 
0.056855  3.126893 
0.058578  3.134711 
0.060301  3.142690 
0.062024  3.150869 
0.063747  3.159282 
0.065469  3.167959 
0.067192  3.176927 
0.068915  3.186203 
0.070638  3.195798 
0.072361  3.205710 
0.074084  3.215926 
0.075807  3.226421 
0.077530  3.237156 
0.079253  3.248080 
0.080976  3.259137 
0.082698  3.270266 
0.084421  3.281406 
0.086144  3.292504 
0.087867  3.303514 
0.089590  3.314402 
0.091313  3.325148 
0.093036  3.335744 
0.094758  3.346195 
0.096481  3.356516 
0.098204  3.366731 
0.099927  3.376871 
0.101650  3.386969 
0.103373  3.397061 
0.105096  3.407185 
0.106819  3.417375 
0.108542  3.427665 
0.110265  3.438083 
0.111987  3.448657 
0.113710  3.459406 
0.115433  3.470350 
0.117156  3.481501 
0.118879  3.492866 
0.120602  3.504451 
0.122325  3.516257 
0.124048  3.528278 
0.125770  3.540507 
0.127493  3.552934 
0.129216  3.565539 
0.130939  3.578298 
0.132662  3.591171 
0.134385  3.604090 
0.136108  3.616927 
0.137831  3.629411 
0.139553  3.640933 
0.141276  3.650269 
0.142999  3.656198 
0.144722  3.659137 
0.146445  3.660326 
0.148168  3.660522 
0.149891  3.660055 
0.151614  3.659062 
0.153336  3.657602 
0.155059  3.655700 
0.156782  3.653368 
0.158505  3.650608 
0.160228  3.647423 
0.161951  3.643812 
0.163674  3.639773 
0.165397  3.635305 
0.167120  3.630403 
0.168843  3.625058 
0.170565  3.619261 
0.172288  3.613034 


0.000000  3.091196 
0.001723  3.091220 
0.003446  3.091296 
0.005169  3.091429 
0.006892  3.091628 
0.008614  3.091906 
0.010337  3.092279 
0.012060  3.092768 
0.013783  3.093397 
0.015506  3.094194 
0.017229  3.095191 
0.018952  3.096425 
0.020675  3.097938 
0.022398  3.099778 
0.024120  3.102000 
0.025843  3.104666 
0.027566  3.107847 
0.029289  3.111623 
0.031012  3.116083 
0.032735  3.121326 
0.034458  3.127451 
0.036180  3.134555 
0.037903  3.142724 
0.039626  3.152020 
0.041349  3.162475 
0.043072  3.174091 
0.044795  3.186838 
0.046518  3.200666 
0.048241  3.215512 
0.049964  3.231304 
0.051687  3.247970 
0.053409  3.265440 
0.055132  3.283646 
0.056855  3.302528 
0.058578  3.322027 
0.060301  3.342094 
0.062024  3.362683 
0.063747  3.383753 
0.065469  3.405270 
0.067192  3.427204 
0.068915  3.449531 
0.070638  3.472228 
