# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08286560 
0.000000  2.281423 
0.000829  2.281234 
0.001657  2.280668 
0.002486  2.279723 
0.003315  2.278397 
0.004143  2.276689 
0.004972  2.274596 
0.005801  2.272115 
0.006629  2.269242 
0.007458  2.265975 
0.008287  2.262310 
0.009115  2.258245 
0.009944  2.253779 
0.010773  2.248909 
0.011601  2.243636 
0.012430  2.237964 
0.013258  2.231895 
0.014087  2.225437 
0.014916  2.218599 
0.015745  2.211394 
0.016573  2.203839 
0.017402  2.195953 
0.018230  2.187761 
0.019059  2.179291 
0.019888  2.170577 
0.020716  2.161655 
0.021545  2.152569 
0.022374  2.143365 
0.023202  2.134092 
0.024031  2.124805 
0.024860  2.115563 
0.025688  2.106425 
0.026517  2.097456 
0.027346  2.088720 
0.028174  2.080285 
0.029003  2.072216 
0.029832  2.064581 
0.030660  2.057445 
0.031489  2.050874 
0.032318  2.044927 
0.033146  2.039664 
0.033975  2.035139 
0.034804  2.031400 
0.035632  2.028493 
0.036461  2.026454 
0.037290  2.025314 
0.038118  2.025096 
0.038947  2.025818 
0.039775  2.027488 
0.040604  2.030104 
0.041433  2.033660 
0.042262  2.038140 
0.043090  2.043518 
0.043919  2.049764 
0.044748  2.056838 
0.045576  2.064693 
0.046405  2.073278 
0.047233  2.082532 
0.048062  2.092391 
0.048891  2.102786 
0.049719  2.113644 
0.050548  2.124888 
0.051377  2.136439 
0.052205  2.148214 
0.053034  2.160133 
0.053863  2.172112 
0.054691  2.184070 
0.055520  2.195927 
0.056349  2.207606 
0.057177  2.219034 
0.058006  2.230144 
0.058835  2.240874 
0.059663  2.251169 
0.060492  2.260983 
0.061321  2.270279 
0.062149  2.279027 
0.062978  2.287210 
0.063807  2.294817 
0.064635  2.301847 
0.065464  2.308307 
0.066293  2.314212 
0.067121  2.319580 
0.067950  2.324436 
0.068779  2.328807 
0.069607  2.332725 
0.070436  2.336220 
0.071264  2.339323 
0.072093  2.342067 
0.072922  2.344481 
0.073750  2.346594 
0.074579  2.348432 
0.075408  2.350021 
0.076236  2.351383 
0.077065  2.352537 
0.077894  2.353503 
0.078722  2.354294 
0.079551  2.354924 
0.080380  2.355403 
0.081208  2.355739 
0.082037  2.355939 
0.082866  2.356005 


0.000000  2.284251 
0.000829  2.284063 
0.001657  2.283498 
0.002486  2.282556 
0.003315  2.281234 
0.004143  2.279531 
0.004972  2.277444 
0.005801  2.274970 
0.006629  2.272106 
0.007458  2.268848 
0.008287  2.265194 
0.009115  2.261140 
0.009944  2.256685 
0.010773  2.251827 
0.011601  2.246568 
0.012430  2.240909 
0.013258  2.234855 
0.014087  2.228412 
0.014916  2.221589 
0.015745  2.214399 
0.016573  2.206859 
0.017402  2.198988 
0.018230  2.190810 
0.019059  2.182355 
0.019888  2.173655 
0.020716  2.164747 
0.021545  2.155674 
0.022374  2.146482 
0.023202  2.137220 
0.024031  2.127944 
0.024860  2.118711 
0.025688  2.109582 
0.026517  2.100619 
0.027346  2.091888 
0.028174  2.083456 
0.029003  2.075388 
0.029832  2.067753 
0.030660  2.060614 
0.031489  2.054038 
0.032318  2.048083 
0.033146  2.042810 
0.033975  2.038272 
0.034804  2.034518 
0.035632  2.031591 
