# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.15587980 
0.000000  -0.004923 
0.001559  0.012215 
0.003118  0.025226 
0.004676  0.038290 
0.006235  0.051626 
0.007794  0.065348 
0.009353  0.079547 
0.010912  0.094297 
0.012470  0.109662 
0.014029  0.125695 
0.015588  0.142434 
0.017147  0.159910 
0.018706  0.178144 
0.020264  0.197146 
0.021823  0.216920 
0.023382  0.237464 
0.024941  0.258768 
0.026500  0.280819 
0.028058  0.303597 
0.029617  0.327081 
0.031176  0.351245 
0.032735  0.376064 
0.034294  0.401506 
0.035852  0.427542 
0.037411  0.454138 
0.038970  0.481260 
0.040529  0.508875 
0.042088  0.536947 
0.043646  0.565438 
0.045205  0.594312 
0.046764  0.623532 
0.048323  0.653060 
0.049882  0.682855 
0.051440  0.712880 
0.052999  0.743095 
0.054558  0.773459 
0.056117  0.803932 
0.057675  0.834474 
0.059234  0.865043 
0.060793  0.895598 
0.062352  0.926098 
0.063911  0.956503 
0.065469  0.986771 
0.067028  1.016864 
0.068587  1.046740 
0.070146  1.076362 
0.071705  1.105692 
0.073263  1.134696 
0.074822  1.163337 
0.076381  1.191586 
0.077940  1.219411 
0.079499  1.246787 
0.081058  1.273689 
0.082616  1.300097 
0.084175  1.325994 
0.085734  1.351365 
0.087293  1.376203 
0.088851  1.400500 
0.090410  1.424254 
0.091969  1.447469 
0.093528  1.470149 
0.095087  1.492304 
0.096645  1.513945 
0.098204  1.535089 
0.099763  1.555753 
0.101322  1.575958 
0.102881  1.595724 
0.104440  1.615074 
0.105998  1.634031 
0.107557  1.652619 
0.109116  1.670860 
0.110675  1.688775 
0.112233  1.706382 
0.113792  1.723699 
0.115351  1.740740 
0.116910  1.757516 
0.118469  1.774035 
0.120027  1.790302 
0.121586  1.806318 
0.123145  1.822082 
0.124704  1.837591 
0.126263  1.852836 
0.127822  1.867808 
0.129380  1.882497 
0.130939  1.896889 
0.132498  1.910971 
0.134057  1.924728 
0.135615  1.938144 
0.137174  1.951206 
0.138733  1.963899 
0.140292  1.976209 
0.141851  1.988123 
0.143409  1.999632 
0.144968  2.010726 
0.146527  2.021397 
0.148086  2.031639 
0.149645  2.041449 
0.151203  2.050818 
0.152762  2.059732 
0.154321  2.068113 
0.155880  2.074255 


0.000000  -0.002323 
0.001559  0.034207 
0.003118  0.068841 
0.004676  0.103330 
0.006235  0.137727 
0.007794  0.172023 
0.009353  0.206203 
0.010912  0.240249 
0.012470  0.274139 
0.014029  0.307857 
0.015588  0.341383 
0.017147  0.374700 
0.018706  0.407791 
0.020264  0.440641 
0.021823  0.473236 
0.023382  0.505563 
0.024941  0.537609 
0.026500  0.569365 
0.028058  0.600821 
0.029617  0.631970 
0.031176  0.662805 
0.032735  0.693321 
0.034294  0.723514 
0.035852  0.753383 
0.037411  0.782927 
0.038970  0.812145 
0.040529  0.841040 
0.042088  0.869615 
0.043646  0.897873 
0.045205  0.925820 
0.046764  0.953462 
0.048323  0.980806 
0.049882  1.007861 
0.051440  1.034634 
0.052999  1.061137 
0.054558  1.087379 
0.056117  1.113371 
0.057675  1.139124 
0.059234  1.164649 
0.060793  1.189958 
0.062352  1.215063 
0.063911  1.239975 
0.065469  1.264704 
0.067028  1.289261 
0.068587  1.313655 
0.070146  1.337895 
0.071705  1.361987 
0.073263  1.385937 
0.074822  1.409748 
0.076381  1.433422 
0.077940  1.456958 
0.079499  1.480351 
0.081058  1.503595 
0.082616  1.526681 
0.084175  1.549597 
0.085734  1.572327 
0.087293  1.594852 
0.088851  1.617152 
0.090410  1.639205 
0.091969  1.660985 
0.093528  1.682467 
0.095087  1.703625 
0.096645  1.724433 
0.098204  1.744867 
0.099763  1.764904 
0.101322  1.784523 
0.102881  1.803708 
0.104440  1.822445 
0.105998  1.840724 
0.107557  1.858538 
0.109116  1.875883 
0.110675  1.892758 
0.112233  1.909165 
0.113792  1.925105 
0.115351  1.940581 
0.116910  1.955593 
0.118469  1.970145 
0.120027  1.984234 
0.121586  1.997858 
0.123145  2.011013 
0.124704  2.023691 
0.126263  2.035880 
0.127822  2.047565 
0.129380  2.058725 
0.130939  2.069330 
0.132498  2.079337 
0.134057  2.088683 
0.135615  2.097268 
0.137174  2.104936 
0.138733  2.111432 
0.140292  2.116367 
0.141851  2.119266 
0.143409  2.119809 
0.144968  2.118125 
0.146527  2.114701 
0.148086  2.110045 
0.149645  2.104516 
0.151203  2.098335 
0.152762  2.091637 
0.154321  2.084564 
0.155880  2.078855 


0.000000  -0.000992 
0.001559  0.049376 
0.003118  0.098713 
0.004676  0.148016 
0.006235  0.197261 
0.007794  0.246429 
0.009353  0.295500 
