# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.07872240 
0.000000  2.334617 
0.000787  2.334600 
0.001574  2.334547 
0.002362  2.334460 
0.003149  2.334336 
0.003936  2.334175 
0.004723  2.333975 
0.005511  2.333735 
0.006298  2.333453 
0.007085  2.333127 
0.007872  2.332755 
0.008660  2.332335 
0.009447  2.331866 
0.010234  2.331344 
0.011021  2.330769 
0.011808  2.330139 
0.012596  2.329452 
0.013383  2.328708 
0.014170  2.327905 
0.014957  2.327042 
0.015745  2.326119 
0.016532  2.325135 
0.017319  2.324091 
0.018106  2.322986 
0.018893  2.321821 
0.019681  2.320596 
0.020468  2.319312 
0.021255  2.317969 
0.022042  2.316569 
0.022829  2.315111 
0.023617  2.313598 
0.024404  2.312030 
0.025191  2.310409 
0.025978  2.308736 
0.026766  2.307013 
0.027553  2.305241 
0.028340  2.303422 
0.029127  2.301557 
0.029915  2.299649 
0.030702  2.297698 
0.031489  2.295707 
0.032276  2.293678 
0.033063  2.291612 
0.033851  2.289512 
0.034638  2.287379 
0.035425  2.285216 
0.036212  2.283025 
0.036999  2.280808 
0.037787  2.278567 
0.038574  2.276304 
0.039361  2.274022 
0.040148  2.271723 
0.040936  2.269409 
0.041723  2.267083 
0.042510  2.264746 
0.043297  2.262403 
0.044084  2.260054 
0.044872  2.257702 
0.045659  2.255351 
0.046446  2.253002 
0.047233  2.250657 
0.048021  2.248320 
0.048808  2.245993 
0.049595  2.243678 
0.050382  2.241378 
0.051169  2.239095 
0.051957  2.236831 
0.052744  2.234590 
0.053531  2.232373 
0.054318  2.230182 
0.055106  2.228020 
0.055893  2.225890 
0.056680  2.223792 
0.057467  2.221729 
0.058255  2.219703 
0.059042  2.217715 
0.059829  2.215768 
0.060616  2.213862 
0.061403  2.211999 
0.062191  2.210181 
0.062978  2.208408 
0.063765  2.206682 
0.064552  2.205003 
0.065340  2.203373 
0.066127  2.201792 
0.066914  2.200262 
0.067701  2.198784 
0.068488  2.197360 
0.069276  2.195993 
0.070063  2.194686 
0.070850  2.193443 
0.071637  2.192272 
0.072425  2.191178 
0.073212  2.190172 
0.073999  2.189264 
0.074786  2.188466 
0.075574  2.187790 
0.076361  2.187248 
0.077148  2.186852 
0.077935  2.186611 
0.078722  2.186530 


0.000000  2.335134 
0.000787  2.335120 
0.001574  2.335078 
0.002362  2.335007 
0.003149  2.334906 
0.003936  2.334774 
0.004723  2.334608 
0.005511  2.334407 
0.006298  2.334168 
0.007085  2.333889 
0.007872  2.333568 
0.008660  2.333201 
0.009447  2.332787 
0.010234  2.332322 
0.011021  2.331806 
0.011808  2.331236 
0.012596  2.330609 
0.013383  2.329926 
0.014170  2.329183 
0.014957  2.328381 
0.015745  2.327519 
0.016532  2.326595 
0.017319  2.325610 
0.018106  2.324563 
0.018893  2.323455 
0.019681  2.322286 
0.020468  2.321056 
0.021255  2.319766 
0.022042  2.318417 
0.022829  2.317009 
0.023617  2.315545 
0.024404  2.314025 
0.025191  2.312450 
0.025978  2.310821 
0.026766  2.309141 
0.027553  2.307411 
0.028340  2.305632 
0.029127  2.303807 
0.029915  2.301936 
0.030702  2.300022 
0.031489  2.298066 
0.032276  2.296071 
0.033063  2.294038 
0.033851  2.291970 
0.034638  2.289868 
0.035425  2.287735 
0.036212  2.285573 
0.036999  2.283383 
0.037787  2.281169 
0.038574  2.278932 
0.039361  2.276675 
0.040148  2.274400 
0.040936  2.272110 
0.041723  2.269806 
0.042510  2.267491 
0.043297  2.265168 
0.044084  2.262839 
0.044872  2.260506 
0.045659  2.258173 
0.046446  2.255841 
0.047233  2.253513 
0.048021  2.251191 
0.048808  2.248879 
0.049595  2.246578 
0.050382  2.244290 
0.051169  2.242019 
0.051957  2.239767 
0.052744  2.237535 
0.053531  2.235327 
0.054318  2.233144 
0.055106  2.230989 
0.055893  2.228863 
0.056680  2.226769 
0.057467  2.224708 
0.058255  2.222683 
0.059042  2.220694 
0.059829  2.218743 
0.060616  2.216833 
0.061403  2.214963 
0.062191  2.213135 
0.062978  2.211349 
0.063765  2.209608 
0.064552  2.207911 
0.065340  2.206259 
0.066127  2.204653 
0.066914  2.203093 
0.067701  2.201582 
0.068488  2.200121 
0.069276  2.198713 
0.070063  2.197361 
0.070850  2.196070 
0.071637  2.194847 
0.072425  2.193700 
0.073212  2.192640 
0.073999  2.191679 
0.074786  2.190830 
0.075574  2.190109 
0.076361  2.189530 
0.077148  2.189106 
0.077935  2.188847 
0.078722  2.188760 


0.000000  2.539587 
0.000787  2.539723 
0.001574  2.540132 
0.002362  2.540812 
0.003149  2.541761 
0.003936  2.542976 
0.004723  2.544452 
0.005511  2.546185 
0.006298  2.548169 
0.007085  2.550397 
0.007872  2.552861 
0.008660  2.555553 
0.009447  2.558464 
0.010234  2.561582 
0.011021  2.564897 
0.011808  2.568397 
0.012596  2.572069 
0.013383  2.575901 
0.014170  2.579878 
0.014957  2.583987 
0.015745  2.588212 
0.016532  2.592539 
0.017319  2.596952 
0.018106  2.601436 
0.018893  2.605975 
0.019681  2.610554 
0.020468  2.615156 
0.021255  2.619765 
0.022042  2.624367 
0.022829  2.628944 
0.023617  2.633481 
0.024404  2.637963 
0.025191  2.642373 
0.025978  2.646696 
0.026766  2.650916 
0.027553  2.655017 
0.028340  2.658984 
0.029127  2.662801 
0.029915  2.666452 
0.030702  2.669921 
0.031489  2.673191 
0.032276  2.676246 
0.033063  2.679069 
0.033851  2.681642 
0.034638  2.683948 
0.035425  2.685968 
0.036212  2.687683 
0.036999  2.689074 
0.037787  2.690121 
0.038574  2.690803 
0.039361  2.691098 
0.040148  2.690987 
0.040936  2.690445 
0.041723  2.689452 
0.042510  2.687986 
0.043297  2.686023 
0.044084  2.683543 
0.044872  2.680526 
0.045659  2.676951 
0.046446  2.672803 
0.047233  2.668066 
0.048021  2.662727 
0.048808  2.656777 
0.049595  2.650211 
0.050382  2.643028 
0.051169  2.635231 
0.051957  2.626829 
0.052744  2.617835 
0.053531  2.608267 
0.054318  2.598152 
0.055106  2.587517 
0.055893  2.576397 
0.056680  2.564833 
0.057467  2.552870 
0.058255  2.540555 
0.059042  2.527943 
0.059829  2.515090 
0.060616  2.502056 
0.061403  2.488905 
0.062191  2.475702 
0.062978  2.462514 
0.063765  2.449411 
0.064552  2.436464 
0.065340  2.423742 
0.066127  2.411316 
0.066914  2.399258 
