# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08286560 
0.000000  -0.001033 
0.000829  -0.009165 
0.001657  -0.017985 
0.002486  -0.026842 
0.003315  -0.035662 
0.004143  -0.044417 
0.004972  -0.053084 
0.005801  -0.061642 
0.006629  -0.070073 
0.007458  -0.078356 
0.008287  -0.086471 
0.009115  -0.094398 
0.009944  -0.102116 
0.010773  -0.109604 
0.011601  -0.116839 
0.012430  -0.123799 
0.013258  -0.130459 
0.014087  -0.136795 
0.014916  -0.142781 
0.015745  -0.148388 
0.016573  -0.153588 
0.017402  -0.158348 
0.018230  -0.162635 
0.019059  -0.166412 
0.019888  -0.169639 
0.020716  -0.172271 
0.021545  -0.174258 
0.022374  -0.175544 
0.023202  -0.176066 
0.024031  -0.175749 
0.024860  -0.174506 
0.025688  -0.172229 
0.026517  -0.168791 
0.027346  -0.164025 
0.028174  -0.157714 
0.029003  -0.149562 
0.029832  -0.139134 
0.030660  -0.125745 
0.031489  -0.108157 
0.032318  -0.083586 
0.033146  -0.040581 
0.033975  0.065965 
0.034804  0.105063 
0.035632  0.135806 
0.036461  0.163080 
0.037290  0.188475 
0.038118  0.212730 
0.038947  0.236254 
0.039775  0.259296 
0.040604  0.282021 
0.041433  0.304538 
0.042262  0.326927 
0.043090  0.349244 
0.043919  0.371531 
0.044748  0.393817 
0.045576  0.416125 
0.046405  0.438472 
0.047233  0.460868 
0.048062  0.483321 
0.048891  0.505837 
0.049719  0.528418 
0.050548  0.551064 
0.051377  0.573775 
0.052205  0.596550 
0.053034  0.619384 
0.053863  0.642275 
0.054691  0.665218 
0.055520  0.688208 
0.056349  0.711240 
0.057177  0.734309 
0.058006  0.757407 
0.058835  0.780531 
0.059663  0.803673 
0.060492  0.826828 
0.061321  0.849989 
0.062149  0.873151 
0.062978  0.896307 
0.063807  0.919451 
0.064635  0.942578 
0.065464  0.965681 
0.066293  0.988756 
0.067121  1.011795 
0.067950  1.034793 
0.068779  1.057744 
0.069607  1.080641 
0.070436  1.103479 
0.071264  1.126249 
0.072093  1.148943 
0.072922  1.171551 
0.073750  1.194062 
0.074579  1.216461 
0.075408  1.238726 
0.076236  1.260828 
0.077065  1.282726 
0.077894  1.304351 
0.078722  1.325590 
0.079551  1.346237 
0.080380  1.365879 
0.081208  1.383609 
0.082037  1.397307 
0.082866  1.402857 


0.000000  -0.000767 
0.000829  0.015172 
0.001657  0.030774 
0.002486  0.046337 
0.003315  0.061950 
0.004143  0.077651 
0.004972  0.093468 
0.005801  0.109426 
0.006629  0.125546 
0.007458  0.141852 
0.008287  0.158362 
0.009115  0.175097 
0.009944  0.192073 
0.010773  0.209307 
0.011601  0.226814 
0.012430  0.244608 
0.013258  0.262700 
0.014087  0.281103 
0.014916  0.299824 
0.015745  0.318871 
0.016573  0.338250 
0.017402  0.357967 
0.018230  0.378023 
0.019059  0.398420 
0.019888  0.419157 
0.020716  0.440233 
0.021545  0.461645 
0.022374  0.483387 
0.023202  0.505453 
0.024031  0.527835 
0.024860  0.550524 
0.025688  0.573509 
0.026517  0.596779 
0.027346  0.620320 
0.028174  0.644117 
0.029003  0.668156 
0.029832  0.692420 
0.030660  0.716892 
0.031489  0.741552 
0.032318  0.766383 
0.033146  0.791365 
0.033975  0.816476 
0.034804  0.841698 
0.035632  0.867007 
0.036461  0.892385 
0.037290  0.917808 
0.038118  0.943255 
0.038947  0.968705 
0.039775  0.994138 
0.040604  1.019531 
0.041433  1.044865 
0.042262  1.070119 
0.043090  1.095274 
0.043919  1.120311 
0.044748  1.145212 
0.045576  1.169959 
0.046405  1.194536 
0.047233  1.218926 
0.048062  1.243115 
0.048891  1.267089 
0.049719  1.290833 
0.050548  1.314337 
0.051377  1.337587 
0.052205  1.360575 
0.053034  1.383290 
0.053863  1.405723 
0.054691  1.427867 
0.055520  1.449715 
0.056349  1.471259 
0.057177  1.492496 
0.058006  1.513420 
0.058835  1.534027 
0.059663  1.554314 
0.060492  1.574279 
0.061321  1.593920 
0.062149  1.613235 
0.062978  1.632223 
0.063807  1.650885 
0.064635  1.669221 
0.065464  1.687231 
0.066293  1.704916 
0.067121  1.722279 
0.067950  1.739320 
0.068779  1.756042 
0.069607  1.772441 
0.070436  1.765526 
0.071264  1.745350 
0.072093  1.725030 
0.072922  1.704587 
0.073750  1.684044 
0.074579  1.663424 
0.075408  1.642752 
0.076236  1.622064 
0.077065  1.601405 
0.077894  1.580848 
0.078722  1.560508 
0.079551  1.540595 
0.080380  1.521521 
0.081208  1.504197 
0.082037  1.490741 
0.082866  1.485272 


0.000000  -0.000532 
0.000829  0.038651 
0.001657  0.077099 
0.002486  0.115581 
0.003315  0.154062 
0.004143  0.192531 
0.004972  0.230980 
0.005801  0.269403 
0.006629  0.307797 
0.007458  0.346154 
0.008287  0.384470 
0.009115  0.422739 
0.009944  0.460956 
0.010773  0.499113 
0.011601  0.537205 
0.012430  0.575225 
0.013258  0.613166 
0.014087  0.651019 
0.014916  0.688778 
0.015745  0.726434 
0.016573  0.763978 
0.017402  0.801402 
0.018230  0.838695 
0.019059  0.875847 
0.019888  0.912849 
0.020716  0.949690 
0.021545  0.986358 
0.022374  1.022841 
0.023202  1.059128 
0.024031  1.095206 
0.024860  1.131061 
0.025688  1.166680 
0.026517  1.202050 
0.027346  1.237156 
0.028174  1.271982 
0.029003  1.306513 
0.029832  1.340733 
0.030660  1.374626 
0.031489  1.408174 
0.032318  1.441360 
0.033146  1.474163 
0.033975  1.506565 
0.034804  1.538546 
