# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.15105140 
0.000000  1.402857 
0.001510  1.403135 
0.003021  1.403968 
0.004531  1.405354 
0.006042  1.407291 
0.007553  1.409774 
0.009063  1.412799 
0.010574  1.416360 
0.012084  1.420449 
0.013595  1.425060 
0.015105  1.430183 
0.016616  1.435812 
0.018126  1.441937 
0.019637  1.448549 
0.021147  1.455640 
0.022658  1.463203 
0.024168  1.471229 
0.025679  1.479713 
0.027189  1.488649 
0.028700  1.498032 
0.030210  1.507857 
0.031721  1.518123 
0.033231  1.528824 
0.034742  1.539959 
0.036252  1.551525 
0.037763  1.563520 
0.039273  1.575941 
0.040784  1.588785 
0.042294  1.602048 
0.043805  1.615726 
0.045315  1.629813 
0.046826  1.644303 
0.048336  1.659188 
0.049847  1.674457 
0.051358  1.690100 
0.052868  1.706102 
0.054379  1.722447 
0.055889  1.739116 
0.057399  1.756088 
0.058910  1.773338 
0.060421  1.790838 
0.061931  1.808560 
0.063442  1.826471 
0.064952  1.844535 
0.066463  1.862715 
0.067973  1.880970 
0.069484  1.899258 
0.070994  1.917535 
0.072505  1.935756 
0.074015  1.953873 
0.075526  1.971839 
0.077036  1.989606 
0.078547  2.007126 
0.080057  2.024351 
0.081568  2.041235 
0.083078  2.057733 
0.084589  2.073802 
0.086099  2.089400 
0.087610  2.104490 
0.089120  2.119038 
0.090631  2.133011 
0.092141  2.146382 
0.093652  2.159127 
0.095162  2.171227 
0.096673  2.182665 
0.098183  2.193431 
0.099694  2.203515 
0.101204  2.212916 
0.102715  2.221631 
0.104225  2.229665 
0.105736  2.237024 
0.107246  2.243718 
0.108757  2.249760 
0.110268  2.255166 
0.111778  2.259954 
0.113289  2.264147 
0.114799  2.267767 
0.116310  2.270843 
0.117820  2.273404 
0.119331  2.275483 
0.120841  2.277114 
0.122352  2.278335 
0.123862  2.279186 
0.125373  2.279709 
0.126883  2.279948 
0.128394  2.279949 
0.129904  2.279760 
0.131415  2.279428 
0.132925  2.279003 
0.134436  2.278532 
0.135946  2.278064 
0.137457  2.277645 
0.138967  2.277321 
0.140478  2.277135 
0.141988  2.277126 
0.143499  2.277330 
0.145009  2.277776 
0.146520  2.278488 
0.148030  2.279466 
0.149541  2.280640 
0.151051  2.281423 


0.000000  1.485272 
0.001510  1.485307 
0.003021  1.485422 
0.004531  1.485640 
0.006042  1.486001 
0.007553  1.486557 
0.009063  1.487367 
0.010574  1.488497 
