# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.07497370 
0.000000  -0.004923 
0.000750  0.009256 
0.001499  0.019436 
0.002249  0.029399 
0.002999  0.039310 
0.003749  0.049197 
0.004498  0.059070 
0.005248  0.068933 
0.005998  0.078787 
0.006748  0.088633 
0.007497  0.098471 
0.008247  0.108301 
0.008997  0.118123 
0.009747  0.127938 
0.010496  0.137745 
0.011246  0.147545 
0.011996  0.157338 
0.012745  0.167125 
0.013495  0.176905 
0.014245  0.186682 
0.014995  0.196454 
0.015745  0.206224 
0.016494  0.215992 
0.017244  0.225761 
0.017994  0.235532 
0.018743  0.245307 
0.019493  0.255088 
0.020243  0.264878 
0.020993  0.274679 
0.021742  0.284493 
0.022492  0.294325 
0.023242  0.304177 
0.023992  0.314051 
0.024741  0.323953 
0.025491  0.333885 
0.026241  0.343851 
0.026991  0.353855 
0.027740  0.363901 
0.028490  0.373994 
0.029240  0.384138 
0.029989  0.394336 
0.030739  0.404594 
0.031489  0.414916 
0.032239  0.425307 
0.032988  0.435770 
0.033738  0.446311 
0.034488  0.456935 
0.035238  0.467645 
0.035987  0.478445 
0.036737  0.489342 
0.037487  0.500337 
0.038237  0.511436 
0.038986  0.522642 
0.039736  0.533960 
0.040486  0.545392 
0.041236  0.556941 
0.041985  0.568612 
0.042735  0.580407 
0.043485  0.592327 
0.044235  0.604377 
0.044984  0.616557 
0.045734  0.628869 
0.046484  0.641315 
0.047233  0.653895 
0.047983  0.666611 
0.048733  0.679462 
0.049483  0.692449 
0.050232  0.705572 
0.050982  0.718828 
0.051732  0.732218 
0.052482  0.745740 
0.053231  0.759392 
0.053981  0.773171 
0.054731  0.787075 
0.055481  0.801099 
0.056230  0.815240 
0.056980  0.829489 
0.057730  0.843835 
0.058479  0.858245 
0.059229  0.872528 
0.059979  0.879099 
0.060729  0.870044 
0.061478  0.859614 
0.062228  0.848488 
0.062978  0.836830 
0.063728  0.824777 
0.064477  0.812469 
0.065227  0.800050 
0.065977  0.787672 
0.066727  0.775488 
0.067476  0.763657 
0.068226  0.752337 
0.068976  0.741685 
0.069725  0.731856 
0.070475  0.722994 
0.071225  0.715237 
