# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.16367380 
0.000000  -0.001137 
0.001637  -0.038164 
0.003273  -0.041324 
0.004910  -0.035590 
0.006547  -0.016771 
0.008184  0.034948 
0.009820  0.057209 
0.011457  0.077054 
0.013094  0.096435 
0.014731  0.116016 
0.016367  0.136116 
0.018004  0.156915 
0.019641  0.178516 
0.021278  0.200981 
0.022914  0.224339 
0.024551  0.248602 
0.026188  0.273762 
0.027825  0.299802 
0.029461  0.326695 
0.031098  0.354405 
0.032735  0.382890 
0.034371  0.412101 
0.036008  0.441986 
0.037645  0.472485 
0.039282  0.503535 
0.040918  0.535070 
0.042555  0.567017 
0.044192  0.599303 
0.045829  0.631849 
0.047465  0.664577 
0.049102  0.697408 
0.050739  0.730263 
0.052376  0.763071 
0.054012  0.795766 
0.055649  0.828291 
0.057286  0.860606 
0.058923  0.892683 
0.060559  0.924512 
0.062196  0.956098 
0.063833  0.987461 
0.065469  1.018634 
0.067106  1.049655 
0.068743  1.080571 
0.070380  1.111428 
0.072016  1.142271 
0.073653  1.173142 
0.075290  1.204075 
0.076927  1.235098 
0.078563  1.266231 
0.080200  1.297484 
0.081837  1.328859 
0.083474  1.360349 
0.085110  1.391939 
0.086747  1.423605 
0.088384  1.455314 
0.090021  1.487028 
0.091657  1.518698 
0.093294  1.550271 
0.094931  1.581686 
0.096568  1.612877 
0.098204  1.643769 
0.099841  1.674288 
0.101478  1.704353 
0.103114  1.733881 
0.104751  1.762792 
0.106388  1.791006 
0.108025  1.818452 
0.109661  1.845067 
0.111298  1.870802 
0.112935  1.895626 
0.114572  1.919524 
0.116208  1.942503 
0.117845  1.964583 
0.119482  1.985801 
0.121119  2.006205 
0.122755  2.025847 
0.124392  2.044781 
0.126029  2.063061 
0.127666  2.080735 
0.129302  2.097845 
0.130939  2.114428 
0.132576  2.130511 
0.134213  2.146113 
0.135849  2.161248 
0.137486  2.175921 
0.139123  2.190130 
0.140760  2.203867 
0.142396  2.217118 
0.144033  2.229863 
0.145670  2.242078 
0.147307  2.253736 
0.148943  2.264804 
0.150580  2.275251 
0.152217  2.285046 
0.153853  2.294164 
0.155490  2.302586 
0.157127  2.310309 
0.158764  2.317348 
0.160400  2.323741 
0.162037  2.329550 
0.163674  2.334617 


0.000000  -0.000839 
0.001637  0.040197 
0.003273  0.073963 
0.004910  0.105988 
0.006547  0.137817 
0.008184  0.169696 
0.009820  0.201613 
0.011457  0.233514 
0.013094  0.265343 
0.014731  0.297054 
0.016367  0.328610 
0.018004  0.359982 
0.019641  0.391144 
0.021278  0.422080 
0.022914  0.452777 
0.024551  0.483225 
0.026188  0.513421 
0.027825  0.543368 
0.029461  0.573071 
0.031098  0.602542 
0.032735  0.631799 
0.034371  0.660864 
0.036008  0.689768 
0.037645  0.718545 
0.039282  0.747236 
0.040918  0.775890 
0.042555  0.804561 
0.044192  0.833307 
0.045829  0.862194 
0.047465  0.891288 
0.049102  0.920659 
0.050739  0.950375 
0.052376  0.980499 
0.054012  1.011090 
0.055649  1.042191 
0.057286  1.073834 
0.058923  1.106034 
0.060559  1.138784 
0.062196  1.172060 
0.063833  1.205818 
0.065469  1.239997 
0.067106  1.274525 
0.068743  1.309315 
0.070380  1.344276 
0.072016  1.379311 
0.073653  1.414321 
0.075290  1.449207 
0.076927  1.483871 
0.078563  1.518217 
0.080200  1.552156 
0.081837  1.585602 
0.083474  1.618475 
0.085110  1.650704 
0.086747  1.682227 
0.088384  1.712992 
0.090021  1.742960 
0.091657  1.772107 
0.093294  1.800422 
0.094931  1.827915 
0.096568  1.854611 
0.098204  1.880554 
0.099841  1.905805 
0.101478  1.930440 
0.103114  1.954543 
0.104751  1.978210 
0.106388  2.001536 
0.108025  2.024611 
0.109661  2.047516 
0.111298  2.070316 
0.112935  2.093056 
0.114572  2.115757 
0.116208  2.138414 
0.117845  2.161002 
0.119482  2.183473 
0.121119  2.205766 
0.122755  2.227807 
0.124392  2.249517 
0.126029  2.270815 
0.127666  2.291619 
0.129302  2.311852 
0.130939  2.331440 
0.132576  2.350311 
0.134213  2.368387 
0.135849  2.385558 
0.137486  2.401511 
0.139123  2.413162 
0.140760  2.410144 
0.142396  2.403537 
0.144033  2.396841 
0.145670  2.390375 
0.147307  2.384213 
0.148943  2.378376 
0.150580  2.372865 
0.152217  2.367661 
0.153853  2.362731 
0.155490  2.358023 
0.157127  2.353471 
0.158764  2.348988 
0.160400  2.344473 
0.162037  2.339814 
0.163674  2.335134 


0.000000  -0.000587 
0.001637  0.069143 
0.003273  0.126509 
0.004910  0.185774 
0.006547  0.245686 
0.008184  0.305828 
0.009820  0.366033 
0.011457  0.426212 
0.013094  0.486309 
0.014731  0.546284 
0.016367  0.606105 
0.018004  0.665740 
0.019641  0.725165 
0.021278  0.784353 
0.022914  0.843279 
0.024551  0.901918 
0.026188  0.960248 
0.027825  1.018245 
0.029461  1.075884 
0.031098  1.133143 
0.032735  1.189999 
0.034371  1.246430 
0.036008  1.302413 
0.037645  1.357926 
0.039282  1.412949 
0.040918  1.467459 
0.042555  1.521438 
0.044192  1.574864 
0.045829  1.627718 
0.047465  1.679981 
0.049102  1.731636 
0.050739  1.782663 
0.052376  1.833045 
0.054012  1.882765 
0.055649  1.931802 
0.057286  1.980136 
0.058923  2.027738 
0.060559  2.074562 
0.062196  2.120498 
0.063833  2.165102 
0.065469  2.202796 
0.067106  2.209247 
0.068743  2.208270 
0.070380  2.207072 
0.072016  2.206203 
0.073653  2.205816 
0.075290  2.205992 
0.076927  2.206792 
0.078563  2.208269 
0.080200  2.210469 
