# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.14349880 
0.000000  2.186530 
0.001435  2.177754 
0.002870  2.160665 
0.004305  2.137766 
0.005740  2.111072 
0.007175  2.081990 
0.008610  2.051347 
0.010045  2.019626 
0.011480  1.987128 
0.012915  1.954059 
0.014350  1.920569 
0.015785  1.886785 
0.017220  1.852816 
0.018655  1.818763 
0.020090  1.784728 
0.021525  1.750808 
0.022960  1.717104 
0.024395  1.683720 
0.025830  1.650761 
0.027265  1.618336 
0.028700  1.586558 
0.030135  1.555541 
0.031570  1.525402 
0.033005  1.496259 
0.034440  1.468229 
0.035875  1.441430 
0.037310  1.415974 
0.038745  1.391970 
0.040180  1.369520 
0.041615  1.348715 
0.043050  1.329636 
0.044485  1.312349 
0.045920  1.296904 
0.047355  1.283330 
0.048790  1.271638 
0.050225  1.261814 
0.051660  1.253822 
0.053095  1.247598 
0.054530  1.243054 
0.055965  1.240073 
0.057399  1.238507 
0.058834  1.238168 
0.060269  1.238800 
0.061705  1.239996 
0.063140  1.240880 
0.064575  1.238618 
0.066009  1.225376 
0.067444  1.200533 
0.068879  1.171633 
0.070314  1.141453 
0.071749  1.110741 
0.073184  1.079764 
0.074619  1.048648 
0.076054  1.017466 
0.077489  0.986269 
0.078924  0.955097 
0.080359  0.923984 
0.081794  0.892959 
0.083229  0.862050 
0.084664  0.831284 
0.086099  0.800685 
0.087534  0.770280 
0.088969  0.740091 
0.090404  0.710144 
0.091839  0.680463 
0.093274  0.651070 
0.094709  0.621992 
0.096144  0.593251 
0.097579  0.564871 
0.099014  0.536878 
0.100449  0.509295 
0.101884  0.482146 
0.103319  0.455458 
0.104754  0.429253 
0.106189  0.403556 
0.107624  0.378393 
0.109059  0.353785 
0.110494  0.329756 
0.111929  0.306328 
0.113364  0.283522 
0.114799  0.261356 
0.116234  0.239845 
0.117669  0.219002 
0.119104  0.198833 
0.120539  0.179339 
0.121974  0.160508 
0.123409  0.142318 
0.124844  0.124722 
0.126279  0.107642 
0.127714  0.090943 
0.129149  0.074381 
0.130584  0.057463 
0.132019  0.038899 
0.133454  0.010310 
0.134889  -0.031145 
0.136324  -0.041907 
0.137759  -0.047700 
0.139194  -0.050187 
0.140629  -0.049114 
0.142064  -0.041687 
0.143499  -0.001137 


0.000000  2.188760 
0.001435  2.190588 
0.002870  2.188334 
0.004305  2.182833 
0.005740  2.175162 
0.007175  2.165939 
0.008610  2.155511 
0.010045  2.144085 
0.011480  2.131788 
0.012915  2.118699 
0.014350  2.104875 
0.015785  2.090353 
0.017220  2.075162 
0.018655  2.059323 
0.020090  2.042853 
0.021525  2.025764 
0.022960  2.008067 
0.024395  1.989772 
0.025830  1.970885 
0.027265  1.951414 
0.028700  1.931365 
0.030135  1.910743 
0.031570  1.889556 
0.033005  1.867808 
0.034440  1.845507 
0.035875  1.822659 
0.037310  1.799271 
0.038745  1.775353 
0.040180  1.750914 
0.041615  1.725965 
0.043050  1.700518 
0.044485  1.674587 
0.045920  1.648188 
0.047355  1.621338 
0.048790  1.594056 
0.050225  1.566363 
0.051660  1.538284 
0.053095  1.509846 
0.054530  1.481079 
0.055965  1.452023 
0.057399  1.422728 
0.058834  1.393264 
0.060269  1.363757 
0.061705  1.334465 
0.063140  1.306110 
0.064575  1.281358 
0.066009  1.267875 
0.067444  1.266108 
0.068879  1.268341 
0.070314  1.271623 
0.071749  1.275041 
0.073184  1.278165 
0.074619  1.280718 
0.076054  1.282480 
0.077489  1.283265 
0.078924  1.282913 
0.080359  1.281276 
0.081794  1.278228 
0.083229  1.273655 
0.084664  1.267458 
0.086099  1.259555 
0.087534  1.249880 
0.088969  1.238381 
0.090404  1.225026 
0.091839  1.209800 
0.093274  1.192711 
0.094709  1.173787 
0.096144  1.153076 
0.097579  1.130652 
0.099014  1.106604 
0.100449  1.081037 
0.101884  1.054067 
0.103319  1.025811 
0.104754  0.996389 
0.106189  0.965913 
0.107624  0.934490 
0.109059  0.902215 
0.110494  0.869174 
0.111929  0.835443 
0.113364  0.801091 
0.114799  0.766176 
0.116234  0.730752 
0.117669  0.694865 
0.119104  0.658559 
0.120539  0.621871 
0.121974  0.584836 
0.123409  0.547488 
0.124844  0.509859 
0.126279  0.471978 
0.127714  0.433876 
0.129149  0.395584 
0.130584  0.357131 
0.132019  0.318552 
0.133454  0.279881 
0.134889  0.241154 
0.136324  0.202402 
0.137759  0.163617 
0.139194  0.124642 
0.140629  0.084865 
0.142064  0.043243 
0.143499  -0.000839 


0.000000  2.300789 
0.001435  2.289940 
0.002870  2.283786 
0.004305  2.282323 
0.005740  2.283641 
0.007175  2.286400 
0.008610  2.289833 
0.010045  2.293520 
0.011480  2.297224 
0.012915  2.300813 
0.014350  2.304212 
0.015785  2.307378 
0.017220  2.310290 
0.018655  2.312939 
0.020090  2.315325 
0.021525  2.317455 
0.022960  2.319337 
0.024395  2.320983 
0.025830  2.322407 
0.027265  2.323622 
0.028700  2.324643 
0.030135  2.325484 
0.031570  2.326160 
0.033005  2.326683 
0.034440  2.327067 
0.035875  2.327324 
0.037310  2.327465 
0.038745  2.327497 
0.040180  2.327426 
0.041615  2.327249 
0.043050  2.326934 
0.044485  2.326323 
0.045920  2.323250 
0.047355  2.300379 
0.048790  2.271361 
0.050225  2.242114 
0.051660  2.212938 
0.053095  2.183884 
0.054530  2.154961 
0.055965  2.126164 
0.057399  2.097484 
0.058834  2.068908 
0.060269  2.040419 
0.061705  2.012002 
0.063140  1.983638 
0.064575  1.955310 
0.066009  1.927001 
0.067444  1.898691 
0.068879  1.870365 
0.070314  1.842006 
0.071749  1.813600 
0.073184  1.785133 
0.074619  1.756592 
0.076054  1.727969 
0.077489  1.699254 
0.078924  1.670441 
0.080359  1.641526 
0.081794  1.612506 
0.083229  1.583382 
0.084664  1.554154 
0.086099  1.524823 
0.087534  1.495392 
0.088969  1.465859 
0.090404  1.436220 
0.091839  1.406467 
0.093274  1.376581 
0.094709  1.346533 
0.096144  1.316285 
0.097579  1.285783 
0.099014  1.254965 
0.100449  1.223762 
0.101884  1.192100 
0.103319  1.159906 
0.104754  1.127113 
0.106189  1.093663 
0.107624  1.059508 
0.109059  1.024614 
0.110494  0.988957 
0.111929  0.952524 
0.113364  0.915315 
0.114799  0.877334 
0.116234  0.838598 
0.117669  0.799125 
0.119104  0.758943 
0.120539  0.718081 
0.121974  0.676573 
0.123409  0.634455 
0.124844  0.591766 
0.126279  0.548547 
0.127714  0.504843 
0.129149  0.460699 
0.130584  0.416166 
0.132019  0.371297 
0.133454  0.326157 
0.134889  0.280826 
0.136324  0.235419 
0.137759  0.190130 
0.139194  0.145361 
0.140629  0.101963 
0.142064  0.060534 
0.143499  -0.000587 


0.000000  2.304190 
0.001435  2.320890 
0.002870  2.343104 
0.004305  2.367510 
0.005740  2.392948 
0.007175  2.418767 
0.008610  2.444594 
0.010045  2.470211 
0.011480  2.495477 
0.012915  2.520299 
0.014350  2.544604 
0.015785  2.568331 
0.017220  2.591419 
0.018655  2.613784 
0.020090  2.635301 
0.021525  2.655742 
0.022960  2.674628 
0.024395  2.690803 
0.025830  2.701211 
0.027265  2.699657 
0.028700  2.683781 
0.030135  2.659665 
0.031570  2.632107 
0.033005  2.603040 
0.034440  2.573242 
0.035875  2.543078 
0.037310  2.512745 
0.038745  2.482364 
0.040180  2.452018 
0.041615  2.421773 
0.043050  2.391704 
0.044485  2.362008 
0.045920  2.334873 
0.047355  2.327657 
0.048790  2.326720 
0.050225  2.326151 
0.051660  2.325656 
0.053095  2.325181 
0.054530  2.324716 
0.055965  2.324257 
0.057399  2.323808 
0.058834  2.323370 
0.060269  2.322948 
0.061705  2.322546 
0.063140  2.322168 
0.064575  2.321818 
0.066009  2.321500 
0.067444  2.321217 
0.068879  2.320973 
0.070314  2.320771 
0.071749  2.320614 
0.073184  2.320504 
0.074619  2.320442 
0.076054  2.320429 
0.077489  2.320467 
0.078924  2.320554 
0.080359  2.320690 
0.081794  2.320874 
0.083229  2.321102 
0.084664  2.321373 
0.086099  2.321683 
0.087534  2.322029 
0.088969  2.322405 
0.090404  2.322808 
0.091839  2.323231 
0.093274  2.323671 
0.094709  2.324122 
0.096144  2.324578 
0.097579  2.325034 
0.099014  2.325485 
0.100449  2.325926 
0.101884  2.326353 
0.103319  2.326759 
0.104754  2.327142 
0.106189  2.327496 
0.107624  2.327820 
0.109059  2.328109 
0.110494  2.328361 
0.111929  2.328575 
0.113364  2.328748 
0.114799  2.328881 
0.116234  2.328973 
0.117669  2.329026 
0.119104  2.329040 
0.120539  2.329019 
0.121974  2.328964 
0.123409  2.328879 
0.124844  2.328768 
0.126279  2.328636 
0.127714  2.328488 
0.129149  2.328329 
0.130584  2.328164 
0.132019  2.327998 
0.133454  2.327837 
0.134889  2.327686 
0.136324  2.327549 
0.137759  2.327431 
0.139194  2.327336 
0.140629  2.327265 
0.142064  2.327222 
0.143499  2.327208 


0.000000  3.079793 
0.001435  3.077540 
0.002870  3.073938 
0.004305  3.069482 
0.005740  3.063873 
0.007175  3.056706 
0.008610  3.047542 
0.010045  3.035981 
0.011480  3.021753 
0.012915  3.004800 
0.014350  2.985279 
0.015785  2.963509 
0.017220  2.939888 
0.018655  2.914840 
0.020090  2.888802 
0.021525  2.862264 
0.022960  2.835925 
0.024395  2.811119 
0.025830  2.791050 
0.027265  2.782035 
0.028700  2.786539 
0.030135  2.798566 
0.031570  2.813393 
0.033005  2.829150 
0.034440  2.845113 
0.035875  2.860966 
0.037310  2.876550 
0.038745  2.891781 
0.040180  2.906606 
0.041615  2.920992 
