# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.14349880 
0.000000  -0.100038 
0.001435  -0.087568 
0.002870  -0.025589 
0.004305  0.104960 
0.005740  0.165286 
0.007175  0.219581 
0.008610  0.271397 
0.010045  0.321836 
0.011480  0.371356 
0.012915  0.420173 
0.014350  0.468391 
0.015785  0.516052 
0.017220  0.563164 
0.018655  0.609708 
0.020090  0.655647 
0.021525  0.700925 
0.022960  0.745470 
0.024395  0.789196 
0.025830  0.831996 
0.027265  0.873749 
0.028700  0.914314 
0.030135  0.953538 
0.031570  0.991257 
0.033005  1.027307 
0.034440  1.061538 
0.035875  1.093829 
0.037310  1.124108 
0.038745  1.152366 
0.040180  1.178662 
0.041615  1.203119 
0.043050  1.225909 
0.044485  1.247233 
0.045920  1.267305 
0.047355  1.286329 
0.048790  1.304497 
0.050225  1.321978 
0.051660  1.338918 
0.053095  1.355442 
0.054530  1.371653 
0.055965  1.387640 
0.057399  1.403476 
0.058834  1.419224 
0.060269  1.434935 
0.061705  1.450655 
0.063140  1.466423 
0.064575  1.482273 
0.066009  1.498233 
0.067444  1.514330 
0.068879  1.530586 
0.070314  1.547020 
0.071749  1.563648 
0.073184  1.580485 
0.074619  1.597540 
0.076054  1.614823 
0.077489  1.632338 
0.078924  1.650087 
0.080359  1.668071 
0.081794  1.686287 
0.083229  1.704727 
0.084664  1.723383 
0.086099  1.742244 
0.087534  1.761295 
0.088969  1.780517 
0.090404  1.799892 
0.091839  1.819396 
0.093274  1.839003 
0.094709  1.858686 
0.096144  1.878414 
0.097579  1.898154 
0.099014  1.917872 
0.100449  1.937531 
0.101884  1.957091 
0.103319  1.976515 
0.104754  1.995760 
0.106189  2.014784 
0.107624  2.033545 
0.109059  2.052002 
0.110494  2.070110 
0.111929  2.087831 
0.113364  2.105122 
0.114799  2.121947 
0.116234  2.138271 
0.117669  2.154059 
0.119104  2.169285 
0.120539  2.183922 
0.121974  2.197950 
0.123409  2.211352 
0.124844  2.224119 
0.126279  2.236243 
0.127714  2.247723 
0.129149  2.258562 
0.130584  2.268769 
0.132019  2.278353 
0.133454  2.287330 
0.134889  2.295719 
0.136324  2.303537 
0.137759  2.310807 
0.139194  2.317553 
0.140629  2.323795 
0.142064  2.329558 
0.143499  2.334617 


0.000000  1.289412 
0.001435  1.289582 
0.002870  1.290090 
0.004305  1.290936 
0.005740  1.292122 
0.007175  1.293650 
0.008610  1.295524 
0.010045  1.297752 
0.011480  1.300349 
0.012915  1.303333 
0.014350  1.306731 
0.015785  1.310580 
0.017220  1.314921 
0.018655  1.319809 
0.020090  1.325304 
0.021525  1.331476 
0.022960  1.338402 
0.024395  1.346165 
0.025830  1.354853 
0.027265  1.364554 
0.028700  1.375347 
0.030135  1.387286 
0.031570  1.400381 
0.033005  1.414559 
0.034440  1.429617 
0.035875  1.445199 
0.037310  1.460847 
0.038745  1.476155 
0.040180  1.490941 
0.041615  1.505250 
0.043050  1.519243 
0.044485  1.533093 
0.045920  1.546939 
0.047355  1.560882 
0.048790  1.574995 
0.050225  1.589328 
0.051660  1.603917 
0.053095  1.618784 
0.054530  1.633946 
0.055965  1.649412 
0.057399  1.665186 
0.058834  1.681269 
0.060269  1.697655 
0.061705  1.714340 
0.063140  1.731312 
0.064575  1.748560 
0.066009  1.766069 
0.067444  1.783822 
0.068879  1.801803 
0.070314  1.819991 
0.071749  1.838366 
0.073184  1.856907 
0.074619  1.875591 
0.076054  1.894394 
0.077489  1.913295 
0.078924  1.932269 
0.080359  1.951292 
0.081794  1.970340 
0.083229  1.989389 
0.084664  2.008416 
0.086099  2.027395 
0.087534  2.046304 
0.088969  2.065117 
0.090404  2.083812 
0.091839  2.102363 
0.093274  2.120748 
0.094709  2.138940 
0.096144  2.156917 
0.097579  2.174651 
0.099014  2.192116 
0.100449  2.209284 
0.101884  2.226123 
0.103319  2.242599 
0.104754  2.258667 
0.106189  2.274277 
0.107624  2.289358 
0.109059  2.303814 
0.110494  2.317500 
0.111929  2.330200 
0.113364  2.341592 
0.114799  2.351255 
0.116234  2.358800 
0.117669  2.364130 
0.119104  2.367549 
0.120539  2.369539 
0.121974  2.370521 
0.123409  2.370781 
0.124844  2.370499 
0.126279  2.369781 
0.127714  2.368688 
0.129149  2.367257 
0.130584  2.365507 
0.132019  2.363445 
0.133454  2.361072 
0.134889  2.358382 
0.136324  2.355366 
0.137759  2.352011 
0.139194  2.348304 
0.140629  2.344226 
0.142064  2.339761 
0.143499  2.335134 


0.000000  1.351718 
0.001435  1.351884 
0.002870  1.352384 
0.004305  1.353228 
0.005740  1.354430 
0.007175  1.356008 
0.008610  1.357984 
0.010045  1.360380 
0.011480  1.363219 
0.012915  1.366523 
0.014350  1.370310 
0.015785  1.374595 
0.017220  1.379390 
0.018655  1.384703 
0.020090  1.390542 
0.021525  1.396911 
0.022960  1.403819 
0.024395  1.411275 
