# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.18477870 
0.000000  -0.000000 
0.001848  -0.028794 
0.003696  -0.057312 
0.005543  -0.085280 
0.007391  -0.112419 
0.009239  -0.138447 
0.011087  -0.163075 
0.012934  -0.186006 
0.014782  -0.206927 
0.016630  -0.225508 
0.018478  -0.241387 
0.020326  -0.254161 
0.022173  -0.263364 
0.024021  -0.268435 
0.025869  -0.268662 
0.027717  -0.263084 
0.029565  -0.250294 
0.031412  -0.227977 
0.033260  -0.191559 
0.035108  -0.127767 
0.036956  0.098017 
0.038803  0.203845 
0.040651  0.282744 
0.042499  0.353823 
0.044347  0.421522 
0.046195  0.487622 
0.048043  0.553003 
0.049890  0.618145 
0.051738  0.683326 
0.053586  0.748710 
0.055434  0.814391 
0.057281  0.880421 
0.059129  0.946823 
0.060977  1.013603 
0.062825  1.080751 
0.064672  1.148250 
0.066520  1.216077 
0.068368  1.284205 
0.070216  1.352602 
0.072064  1.421236 
0.073912  1.490073 
0.075759  1.559078 
0.077607  1.628218 
0.079455  1.697456 
0.081303  1.766758 
0.083150  1.836090 
0.084998  1.905417 
0.086846  1.974706 
0.088694  2.043924 
0.090542  2.113037 
0.092389  2.182015 
0.094237  2.250825 
0.096085  2.319436 
0.097933  2.387818 
0.099780  2.455939 
0.101628  2.523771 
0.103476  2.591282 
0.105324  2.658443 
0.107172  2.725225 
0.109019  2.791597 
0.110867  2.857531 
0.112715  2.922996 
0.114563  2.987961 
0.116411  3.052395 
0.118258  3.116268 
0.120106  3.179546 
0.121954  3.242196 
0.123802  3.304184 
0.125649  3.365473 
0.127497  3.400599 
0.129345  3.418972 
0.131193  3.436414 
0.133041  3.452941 
0.134888  3.468570 
0.136736  3.483318 
0.138584  3.497206 
0.140432  3.510255 
0.142280  3.522488 
0.144127  3.533928 
0.145975  3.544599 
0.147823  3.554528 
0.149671  3.563740 
0.151519  3.572263 
0.153366  3.580123 
0.155214  3.587348 
0.157062  3.593966 
0.158910  3.600003 
0.160757  3.605487 
0.162605  3.610444 
0.164453  3.614899 
0.166301  3.618877 
0.168149  3.622400 
0.169996  3.625491 
0.171844  3.628168 
0.173692  3.630450 
0.175540  3.632353 
0.177388  3.633891 
0.179235  3.635075 
0.181083  3.635914 
0.182931  3.636415 
0.184779  3.636582 


0.000000  0.000000 
0.001848  0.069486 
0.003696  0.138934 
0.005543  0.208304 
0.007391  0.277559 
0.009239  0.346661 
0.011087  0.415571 
0.012934  0.484254 
0.014782  0.552673 
0.016630  0.620792 
0.018478  0.688578 
0.020326  0.755996 
0.022173  0.823015 
0.024021  0.889602 
0.025869  0.955727 
0.027717  1.021363 
0.029565  1.086480 
0.031412  1.151052 
0.033260  1.215054 
0.035108  1.278463 
0.036956  1.341255 
0.038803  1.403409 
0.040651  1.464904 
0.042499  1.525723 
0.044347  1.585846 
0.046195  1.645258 
0.048043  1.703942 
0.049890  1.761884 
0.051738  1.819070 
0.053586  1.875487 
0.055434  1.931122 
0.057281  1.985965 
0.059129  2.040004 
0.060977  2.093229 
0.062825  2.145630 
0.064672  2.197198 
0.066520  2.247923 
0.068368  2.297796 
0.070216  2.346809 
0.072064  2.394954 
0.073912  2.442222 
0.075759  2.488604 
0.077607  2.534093 
0.079455  2.578681 
0.081303  2.622359 
0.083150  2.665119 
0.084998  2.706954 
0.086846  2.747856 
0.088694  2.787818 
0.090542  2.826830 
0.092389  2.864888 
0.094237  2.901982 
0.096085  2.938107 
0.097933  2.973257 
0.099780  3.007425 
0.101628  3.040606 
0.103476  3.072796 
0.105324  3.103991 
0.107172  3.134187 
0.109019  3.163382 
0.110867  3.191575 
0.112715  3.218766 
0.114563  3.244956 
0.116411  3.270146 
0.118258  3.294341 
0.120106  3.317545 
0.121954  3.339764 
0.123802  3.361007 
0.125649  3.381281 
0.127497  3.426027 
0.129345  3.485805 
0.131193  3.544767 
0.133041  3.602869 
0.134888  3.660064 
0.136736  3.716305 
0.138584  3.771537 
0.140432  3.825707 
0.142280  3.878754 
0.144127  3.930616 
0.145975  3.981223 
0.147823  4.030505 
0.149671  4.078382 
0.151519  4.124772 
0.153366  4.169587 
0.155214  4.212733 
0.157062  4.254111 
0.158910  4.293616 
0.160757  4.331138 
0.162605  4.366562 
0.164453  4.399771 
0.166301  4.430643 
0.168149  4.459057 
0.169996  4.484889 
0.171844  4.508022 
0.173692  4.528340 
0.175540  4.545737 
0.177388  4.560115 
0.179235  4.571392 
0.181083  4.579497 
0.182931  4.584381 
0.184779  4.585538 


0.000000  0.000000 
0.001848  0.108791 
0.003696  0.217527 
0.005543  0.326155 
0.007391  0.434619 
0.009239  0.542865 
0.011087  0.650841 
0.012934  0.758491 
0.014782  0.865764 
0.016630  0.972605 
0.018478  1.078964 
0.020326  1.184788 
0.022173  1.290025 
0.024021  1.394626 
0.025869  1.498540 
0.027717  1.601717 
0.029565  1.704109 
0.031412  1.805667 
0.033260  1.906343 
0.035108  2.006091 
0.036956  2.104864 
0.038803  2.202615 
0.040651  2.299299 
0.042499  2.394871 
0.044347  2.489285 
0.046195  2.582497 
0.048043  2.674463 
0.049890  2.765136 
0.051738  2.854474 
0.053586  2.942431 
0.055434  3.028963 
0.057281  3.114023 
0.059129  3.197567 
0.060977  3.279547 
0.062825  3.359916 
0.064672  3.438626 
0.066520  3.515628 
0.068368  3.590872 
0.070216  3.664305 
0.072064  3.735875 
0.073912  3.805528 
0.075759  3.873208 
0.077607  3.938858 
0.079455  4.002420 
0.081303  4.063835 
0.083150  4.123043 
0.084998  4.179983 
0.086846  4.234597 
0.088694  4.286825 
0.090542  4.336608 
0.092389  4.383893 
0.094237  4.428627 
0.096085  4.470764 
0.097933  4.510263 
0.099780  4.547092 
0.101628  4.581227 
0.103476  4.612654 
0.105324  4.641372 
0.107172  4.667391 
0.109019  4.690736 
0.110867  4.711444 
0.112715  4.729569 
0.114563  4.745176 
0.116411  4.758345 
0.118258  4.769167 
0.120106  4.777746 
0.121954  4.784192 
0.123802  4.788626 
0.125649  4.791174 
0.127497  4.791967 
0.129345  4.791138 
0.131193  4.788824 
0.133041  4.785159 
0.134888  4.780280 
0.136736  4.774318 
0.138584  4.767406 
0.140432  4.759672 
0.142280  4.751239 
0.144127  4.742230 
0.145975  4.732759 
0.147823  4.722941 
0.149671  4.712882 
0.151519  4.702687 
0.153366  4.692456 
0.155214  4.682281 
0.157062  4.672254 
0.158910  4.662460 
0.160757  4.652979 
0.162605  4.643886 
0.164453  4.635253 
0.166301  4.627145 
0.168149  4.619623 
0.169996  4.612741 
0.171844  4.606549 
0.173692  4.601092 
0.175540  4.596409 
0.177388  4.592532 
0.179235  4.589488 
0.181083  4.587299 
0.182931  4.585979 
0.184779  4.586012 


0.000000  4.972544 
0.001848  4.972744 
0.003696  4.973340 
0.005543  4.974333 
0.007391  4.975723 
0.009239  4.977507 
0.011087  4.979684 
0.012934  4.982252 
0.014782  4.985207 
0.016630  4.988548 
0.018478  4.992270 
0.020326  4.996370 
0.022173  5.000842 
0.024021  5.005683 
0.025869  5.010885 
0.027717  5.016445 
0.029565  5.022354 
0.031412  5.028605 
0.033260  5.035192 
0.035108  5.042104 
0.036956  5.049335 
0.038803  5.056874 
0.040651  5.064710 
0.042499  5.072834 
0.044347  5.081235 
0.046195  5.089900 
0.048043  5.098817 
0.049890  5.107973 
0.051738  5.117356 
0.053586  5.126952 
0.055434  5.136746 
0.057281  5.146724 
0.059129  5.156872 
0.060977  5.167174 
0.062825  5.177615 
0.064672  5.188180 
0.066520  5.198854 
0.068368  5.209620 
0.070216  5.220463 
0.072064  5.231368 
0.073912  5.242319 
0.075759  5.253300 
0.077607  5.264297 
0.079455  5.275295 
0.081303  5.286278 
0.083150  5.297234 
0.084998  5.308147 
0.086846  5.319005 
0.088694  5.329794 
0.090542  5.340503 
0.092389  5.351118 
0.094237  5.361628 
0.096085  5.372023 
0.097933  5.382292 
0.099780  5.392425 
0.101628  5.402414 
0.103476  5.412248 
0.105324  5.421922 
0.107172  5.431426 
0.109019  5.440754 
0.110867  5.449900 
0.112715  5.458858 
0.114563  5.467623 
0.116411  5.476189 
0.118258  5.484553 
0.120106  5.492710 
0.121954  5.500658 
0.123802  5.508392 
0.125649  5.515911 
0.127497  5.523212 
0.129345  5.530292 
0.131193  5.537151 
0.133041  5.543785 
0.134888  5.550195 
0.136736  5.556379 
