# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.10668200 
0.000000  3.636582 
0.001067  3.636929 
0.002134  3.637971 
0.003200  3.639704 
0.004267  3.642123 
0.005334  3.645222 
0.006401  3.648989 
0.007468  3.653416 
0.008535  3.658488 
0.009601  3.664190 
0.010668  3.670504 
0.011735  3.677413 
0.012802  3.684892 
0.013869  3.692920 
0.014936  3.701471 
0.016002  3.710516 
0.017069  3.720026 
0.018136  3.729968 
0.019203  3.740307 
0.020270  3.751007 
0.021336  3.762027 
0.022403  3.773325 
0.023470  3.784857 
0.024537  3.796574 
0.025604  3.808427 
0.026670  3.820362 
0.027737  3.832323 
0.028804  3.844251 
0.029871  3.856083 
0.030938  3.867756 
0.032005  3.879203 
0.033071  3.890355 
0.034138  3.901144 
0.035205  3.911498 
0.036272  3.921350 
0.037339  3.930632 
0.038406  3.939280 
0.039472  3.947236 
0.040539  3.954447 
0.041606  3.960867 
0.042673  3.966461 
0.043740  3.971203 
0.044806  3.975076 
0.045873  3.978075 
0.046940  3.980204 
0.048007  3.981478 
0.049074  3.981919 
0.050141  3.981556 
0.051207  3.980425 
0.052274  3.978567 
0.053341  3.976023 
0.054408  3.972839 
0.055475  3.969061 
0.056542  3.964734 
0.057608  3.959906 
0.058675  3.954619 
0.059742  3.948918 
0.060809  3.942845 
0.061876  3.936438 
0.062942  3.929736 
0.064009  3.922776 
0.065076  3.915591 
0.066143  3.908215 
0.067210  3.900679 
0.068277  3.893013 
0.069343  3.885244 
0.070410  3.877400 
0.071477  3.869506 
0.072544  3.861588 
0.073611  3.853667 
0.074677  3.845768 
0.075744  3.837911 
0.076811  3.830117 
0.077878  3.822406 
0.078945  3.814797 
0.080011  3.807309 
0.081078  3.799960 
0.082145  3.792766 
0.083212  3.785744 
0.084279  3.778911 
0.085346  3.772281 
0.086412  3.765870 
0.087479  3.759691 
0.088546  3.753758 
0.089613  3.748085 
0.090680  3.742684 
0.091746  3.737567 
0.092813  3.732745 
0.093880  3.728230 
0.094947  3.724031 
0.096014  3.720159 
0.097081  3.716623 
0.098147  3.713432 
0.099214  3.710592 
0.100281  3.708113 
0.101348  3.706001 
0.102415  3.704262 
0.103482  3.702901 
0.104548  3.701924 
0.105615  3.701335 
0.106682  3.701138 


0.000000  4.585538 
0.001067  4.585454 
0.002134  4.585201 
0.003200  4.584782 
0.004267  4.583953 
0.005334  4.582810 
0.006401  4.581428 
0.007468  4.579815 
0.008535  4.577982 
0.009601  4.575939 
0.010668  4.573699 
0.011735  4.571274 
0.012802  4.568679 
0.013869  4.565927 
0.014936  4.563034 
0.016002  4.560014 
0.017069  4.556884 
0.018136  4.553659 
0.019203  4.550354 
0.020270  4.546985 
0.021336  4.543567 
0.022403  4.540116 
0.023470  4.536645 
0.024537  4.533171 
0.025604  4.529706 
0.026670  4.526264 
0.027737  4.522859 
0.028804  4.519502 
0.029871  4.516206 
0.030938  4.512983 
0.032005  4.509842 
0.033071  4.506796 
0.034138  4.503853 
0.035205  4.501022 
0.036272  4.498313 
0.037339  4.495733 
0.038406  4.493290 
0.039472  4.490991 
0.040539  4.488842 
0.041606  4.486850 
0.042673  4.485019 
0.043740  4.483355 
0.044806  4.481861 
0.045873  4.480542 
0.046940  4.479401 
0.048007  4.478441 
0.049074  4.477664 
0.050141  4.477072 
0.051207  4.476666 
0.052274  4.476447 
0.053341  4.476416 
0.054408  4.476572 
0.055475  4.476915 
0.056542  4.477444 
0.057608  4.478158 
0.058675  4.479055 
0.059742  4.480131 
0.060809  4.481385 
0.061876  4.482814 
0.062942  4.484412 
0.064009  4.486178 
0.065076  4.488104 
0.066143  4.490187 
0.067210  4.492422 
0.068277  4.494801 
0.069343  4.497318 
0.070410  4.499967 
0.071477  4.502740 
0.072544  4.505630 
0.073611  4.508627 
0.074677  4.511724 
0.075744  4.514910 
0.076811  4.518177 
0.077878  4.521514 
0.078945  4.524911 
0.080011  4.528356 
0.081078  4.531838 
0.082145  4.535346 
0.083212  4.538866 
0.084279  4.542387 
0.085346  4.545896 
0.086412  4.549378 
0.087479  4.552820 
0.088546  4.556208 
0.089613  4.559528 
0.090680  4.562764 
0.091746  4.565903 
0.092813  4.568929 
0.093880  4.571826 
0.094947  4.574579 
0.096014  4.577174 
0.097081  4.579593 
0.098147  4.581821 
0.099214  4.583844 
0.100281  4.585645 
0.101348  4.587209 
0.102415  4.588521 
0.103482  4.589566 
0.104548  4.590330 
0.105615  4.590799 
0.106682  4.590958 


0.000000  4.586012 
0.001067  4.585883 
0.002134  4.585494 
0.003200  4.584850 
0.004267  4.584198 
0.005334  4.583452 
0.006401  4.582548 
0.007468  4.581490 
0.008535  4.580285 
0.009601  4.578939 
0.010668  4.577459 
0.011735  4.575855 
0.012802  4.574136 
0.013869  4.572314 
0.014936  4.570401 
0.016002  4.568412 
0.017069  4.566362 
0.018136  4.564268 
0.019203  4.562149 
0.020270  4.560026 
0.021336  4.557924 
0.022403  4.555866 
0.023470  4.553881 
0.024537  4.551999 
0.025604  4.550254 
0.026670  4.548681 
0.027737  4.547319 
0.028804  4.546210 
0.029871  4.545399 
0.030938  4.544933 
0.032005  4.544862 
0.033071  4.545237 
0.034138  4.546112 
0.035205  4.547541 
0.036272  4.549577 
0.037339  4.552273 
0.038406  4.555677 
0.039472  4.559834 
0.040539  4.564784 
0.041606  4.570557 
0.042673  4.577178 
0.043740  4.584661 
0.044806  4.593010 
0.045873  4.602220 
0.046940  4.612275 
0.048007  4.623152 
0.049074  4.634819 
0.050141  4.647237 
0.051207  4.660362 
0.052274  4.674148 
0.053341  4.688542 
0.054408  4.703495 
0.055475  4.718952 
0.056542  4.734862 
0.057608  4.751173 
0.058675  4.767836 
0.059742  4.784802 
0.060809  4.802025 
0.061876  4.819461 
0.062942  4.837066 
0.064009  4.854802 
0.065076  4.872628 
0.066143  4.890509 
0.067210  4.908409 
0.068277  4.926295 
0.069343  4.944134 
0.070410  4.961896 
0.071477  4.979550 
0.072544  4.997068 
0.073611  5.014421 
0.074677  5.031581 
0.075744  5.048522 
0.076811  5.065217 
0.077878  5.081641 
0.078945  5.097766 
0.080011  5.113567 
0.081078  5.129019 
0.082145  5.144096 
0.083212  5.158773 
0.084279  5.173025 
0.085346  5.186826 
0.086412  5.200151 
0.087479  5.212975 
0.088546  5.225274 
0.089613  5.237022 
0.090680  5.248195 
0.091746  5.258770 
