# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.16718070 
0.000000  -0.000000 
0.001672  0.016974 
0.003344  0.034092 
0.005015  0.051496 
0.006687  0.069323 
0.008359  0.087698 
0.010031  0.106738 
0.011703  0.126547 
0.013374  0.147217 
0.015046  0.168825 
0.016718  0.191435 
0.018390  0.215098 
0.020062  0.239853 
0.021733  0.265728 
0.023405  0.292739 
0.025077  0.320895 
0.026749  0.350194 
0.028421  0.380627 
0.030093  0.412182 
0.031764  0.444836 
0.033436  0.478566 
0.035108  0.513343 
0.036780  0.549134 
0.038452  0.585904 
0.040123  0.623615 
0.041795  0.662229 
0.043467  0.701705 
0.045139  0.742000 
0.046811  0.783073 
0.048482  0.824879 
0.050154  0.867375 
0.051826  0.910518 
0.053498  0.954263 
0.055170  0.998567 
0.056841  1.043388 
0.058513  1.088681 
0.060185  1.134405 
0.061857  1.180517 
0.063529  1.226978 
0.065200  1.273744 
0.066872  1.320778 
0.068544  1.368040 
0.070216  1.415492 
0.071888  1.463095 
0.073559  1.510813 
0.075231  1.558611 
0.076903  1.606452 
0.078575  1.654303 
0.080247  1.702129 
0.081919  1.749898 
0.083590  1.797576 
0.085262  1.845134 
0.086934  1.892539 
0.088606  1.939761 
0.090278  1.986770 
0.091949  2.033537 
0.093621  2.080034 
0.095293  2.126230 
0.096965  2.172099 
0.098637  2.217613 
0.100308  2.262743 
0.101980  2.307463 
0.103652  2.351743 
0.105324  2.395558 
0.106996  2.438879 
0.108668  2.468305 
0.110339  2.491493 
0.112011  2.514018 
0.113683  2.535873 
0.115355  2.557049 
0.117027  2.577543 
0.118698  2.597347 
0.120370  2.616459 
0.122042  2.634874 
0.123714  2.652589 
0.125386  2.669603 
0.127057  2.685914 
0.128729  2.701522 
0.130401  2.716427 
0.132073  2.730631 
0.133745  2.744135 
0.135416  2.756941 
0.137088  2.769052 
0.138760  2.780472 
0.140432  2.791205 
0.142104  2.801254 
0.143775  2.810625 
0.145447  2.819321 
0.147119  2.827348 
0.148791  2.834711 
0.150463  2.841415 
0.152135  2.847463 
0.153806  2.852861 
0.155478  2.857613 
0.157150  2.861723 
0.158822  2.865194 
0.160494  2.868029 
0.162165  2.870232 
0.163837  2.871804 
0.165509  2.872747 
0.167181  2.873061 


0.000000  -0.000000 
0.001672  0.046184 
0.003344  0.092352 
0.005015  0.138486 
0.006687  0.184569 
0.008359  0.230586 
0.010031  0.276521 
0.011703  0.322356 
0.013374  0.368077 
0.015046  0.413668 
0.016718  0.459115 
0.018390  0.504403 
0.020062  0.549519 
0.021733  0.594449 
0.023405  0.639181 
0.025077  0.683703 
0.026749  0.728003 
0.028421  0.772070 
0.030093  0.815894 
0.031764  0.859466 
0.033436  0.902776 
0.035108  0.945816 
0.036780  0.988578 
0.038452  1.031054 
0.040123  1.073237 
0.041795  1.115120 
0.043467  1.156697 
0.045139  1.197963 
0.046811  1.238911 
0.048482  1.279536 
0.050154  1.319833 
0.051826  1.359796 
0.053498  1.399420 
0.055170  1.438701 
0.056841  1.477631 
0.058513  1.516207 
0.060185  1.554423 
0.061857  1.592272 
0.063529  1.629748 
0.065200  1.666846 
0.066872  1.703557 
0.068544  1.739876 
0.070216  1.775794 
0.071888  1.811303 
0.073559  1.846394 
0.075231  1.881060 
0.076903  1.915290 
0.078575  1.949074 
0.080247  1.982403 
0.081919  2.015266 
0.083590  2.047652 
0.085262  2.079550 
0.086934  2.110948 
0.088606  2.141835 
0.090278  2.172199 
0.091949  2.202027 
0.093621  2.231308 
0.095293  2.260031 
0.096965  2.288182 
0.098637  2.315751 
0.100308  2.342725 
0.101980  2.369094 
0.103652  2.394847 
0.105324  2.419973 
0.106996  2.444462 
0.108668  2.481678 
0.110339  2.523926 
0.112011  2.565596 
0.113683  2.606657 
0.115355  2.647080 
0.117027  2.686834 
0.118698  2.725887 
0.120370  2.764208 
0.122042  2.801762 
0.123714  2.838514 
0.125386  2.874430 
0.127057  2.909472 
0.128729  2.943600 
0.130401  2.976776 
0.132073  3.008957 
0.133745  3.040102 
0.135416  3.070165 
0.137088  3.099100 
0.138760  3.126862 
0.140432  3.153402 
0.142104  3.178671 
0.143775  3.202619 
0.145447  3.225198 
0.147119  3.246356 
0.148791  3.266044 
0.150463  3.284215 
0.152135  3.300820 
0.153806  3.315815 
0.155478  3.329158 
0.157150  3.340808 
0.158822  3.350730 
0.160494  3.358893 
0.162165  3.365270 
0.163837  3.369841 
0.165509  3.372589 
0.167181  3.373507 


0.000000  0.000000 
0.001672  0.074217 
0.003344  0.148415 
0.005015  0.222576 
0.006687  0.296679 
0.008359  0.370707 
0.010031  0.444641 
0.011703  0.518461 
0.013374  0.592150 
0.015046  0.665688 
0.016718  0.739057 
0.018390  0.812239 
0.020062  0.885216 
0.021733  0.957969 
0.023405  1.030479 
0.025077  1.102731 
0.026749  1.174705 
0.028421  1.246384 
0.030093  1.317750 
0.031764  1.388787 
0.033436  1.459477 
0.035108  1.529803 
0.036780  1.599749 
0.038452  1.669298 
0.040123  1.738432 
0.041795  1.807137 
0.043467  1.875395 
0.045139  1.943190 
0.046811  2.010507 
0.048482  2.077330 
0.050154  2.143642 
0.051826  2.209428 
0.053498  2.274673 
0.055170  2.339360 
0.056841  2.403474 
0.058513  2.467000 
0.060185  2.529922 
0.061857  2.592225 
0.063529  2.653892 
0.065200  2.714909 
0.066872  2.775259 
0.068544  2.834928 
0.070216  2.893899 
0.071888  2.952157 
0.073559  3.009686 
0.075231  3.066469 
0.076903  3.122492 
0.078575  3.177737 
0.080247  3.232190 
0.081919  3.285833 
0.083590  3.338650 
0.085262  3.390626 
0.086934  3.441743 
0.088606  3.491986 
0.090278  3.541339 
0.091949  3.589785 
0.093621  3.637307 
0.095293  3.683891 
0.096965  3.729519 
0.098637  3.774176 
0.100308  3.817847 
0.101980  3.860515 
0.103652  3.902166 
0.105324  3.942785 
0.106996  3.982357 
0.108668  4.020868 
0.110339  4.058305 
0.112011  4.094655 
0.113683  4.129905 
0.115355  4.164044 
0.117027  4.197062 
0.118698  4.228948 
0.120370  4.259693 
0.122042  4.289292 
0.123714  4.317736 
0.125386  4.345020 
0.127057  4.371142 
0.128729  4.396100 
0.130401  4.419892 
0.132073  4.442519 
0.133745  4.463985 
0.135416  4.484294 
0.137088  4.503453 
0.138760  4.521468 
0.140432  4.538349 
0.142104  4.554107 
0.143775  4.568754 
0.145447  4.582302 
0.147119  4.594766 
0.148791  4.606160 
0.150463  4.616500 
0.152135  4.625799 
0.153806  4.634072 
0.155478  4.641334 
0.157150  4.647598 
0.158822  4.652876 
0.160494  4.657179 
0.162165  4.660515 
0.163837  4.662893 
0.165509  4.664318 
0.167181  4.664792 


0.000000  4.658569 
0.001672  4.658655 
0.003344  4.658911 
0.005015  4.659337 
0.006687  4.659932 
0.008359  4.660695 
0.010031  4.661625 
0.011703  4.662720 
