# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.19304370 
0.000000  3.517763 
0.001930  3.518194 
0.003861  3.519486 
0.005791  3.521617 
0.007722  3.524547 
0.009652  3.528212 
0.011583  3.532529 
0.013513  3.537397 
0.015444  3.542693 
0.017374  3.545951 
0.019304  3.534013 
0.021235  3.520694 
0.023165  3.505991 
0.025096  3.489904 
0.027026  3.472440 
0.028957  3.453607 
0.030887  3.433418 
0.032817  3.411889 
0.034748  3.389037 
0.036678  3.364883 
0.038609  3.339449 
0.040539  3.312759 
0.042470  3.284837 
0.044400  3.255709 
0.046330  3.225403 
0.048261  3.193944 
0.050191  3.161362 
0.052122  3.127684 
0.054052  3.092939 
0.055983  3.057154 
0.057913  3.020358 
0.059844  2.982580 
0.061774  2.943848 
0.063704  2.904190 
0.065635  2.863635 
0.067565  2.822211 
0.069496  2.779945 
0.071426  2.736867 
0.073357  2.693003 
0.075287  2.648382 
0.077217  2.603032 
0.079148  2.556981 
0.081078  2.510257 
0.083009  2.462888 
0.084939  2.414903 
0.086870  2.366331 
0.088800  2.317201 
0.090731  2.267543 
0.092661  2.217386 
0.094591  2.166762 
0.096522  2.115701 
0.098452  2.064237 
0.100383  2.012402 
0.102313  1.960230 
0.104244  1.907756 
0.106174  1.855017 
0.108105  1.802050 
0.110035  1.748893 
0.111965  1.695586 
0.113896  1.642172 
0.115826  1.588693 
0.117757  1.535195 
0.119687  1.481722 
0.121618  1.428324 
0.123548  1.375050 
0.125478  1.321952 
0.127409  1.269083 
0.129339  1.216499 
0.131270  1.164256 
0.133200  1.112414 
0.135131  1.061033 
0.137061  1.010175 
0.138991  0.959903 
0.140922  0.910283 
0.142852  0.861381 
0.144783  0.813263 
0.146713  0.765997 
0.148644  0.719651 
0.150574  0.674293 
0.152504  0.629989 
0.154435  0.586807 
0.156365  0.544808 
0.158296  0.504056 
0.160226  0.464606 
0.162157  0.426511 
0.164087  0.389818 
0.166018  0.354565 
0.167948  0.320782 
0.169878  0.288488 
0.171809  0.257687 
0.173739  0.228370 
0.175670  0.200509 
0.177600  0.174058 
0.179531  0.148948 
0.181461  0.125087 
0.183392  0.102358 
0.185322  0.080620 
0.187252  0.059709 
0.189183  0.039440 
0.191113  0.019609 
0.193044  -0.000000 


0.000000  3.594410 
0.001930  3.593873 
0.003861  3.592227 
0.005791  3.589420 
0.007722  3.585404 
0.009652  3.580139 
0.011583  3.573589 
0.013513  3.565723 
0.015444  3.556517 
0.017374  3.548275 
0.019304  3.553984 
0.021235  3.559637 
0.023165  3.565036 
0.025096  3.569959 
0.027026  3.574168 
0.028957  3.577408 
0.030887  3.579410 
0.032817  3.579898 
0.034748  3.578599 
0.036678  3.575253 
0.038609  3.569631 
0.040539  3.561547 
0.042470  3.550873 
0.044400  3.537546 
0.046330  3.521573 
0.048261  3.503019 
0.050191  3.482001 
0.052122  3.458668 
0.054052  3.433191 
0.055983  3.405746 
0.057913  3.376506 
0.059844  3.345633 
0.061774  3.313279 
0.063704  3.279576 
