# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.20269590 
0.000000  3.577625 
0.002027  3.578310 
0.004054  3.580363 
0.006081  3.583772 
0.008108  3.588513 
0.010135  3.594549 
0.012162  3.601833 
0.014189  3.610306 
0.016216  3.619902 
0.018243  3.630540 
0.020270  3.642135 
0.022297  3.654587 
0.024324  3.667790 
0.026350  3.681627 
0.028377  3.695968 
0.030404  3.710674 
0.032431  3.725589 
0.034458  3.740541 
0.036485  3.755338 
0.038512  3.769761 
0.040539  3.781536 
0.042566  3.751194 
0.044593  3.719380 
0.046620  3.686118 
0.048647  3.651431 
0.050674  3.615343 
0.052701  3.577880 
0.054728  3.539069 
0.056755  3.498934 
0.058782  3.457503 
0.060809  3.414804 
0.062836  3.370863 
0.064863  3.325710 
0.066890  3.279374 
0.068917  3.231882 
0.070944  3.183266 
0.072970  3.133556 
0.074997  3.082782 
0.077024  3.030976 
0.079051  2.978169 
0.081078  2.924395 
0.083105  2.869686 
0.085132  2.814075 
0.087159  2.757598 
0.089186  2.700288 
0.091213  2.642181 
0.093240  2.583314 
0.095267  2.523724 
0.097294  2.463447 
0.099321  2.402523 
0.101348  2.340990 
0.103375  2.278890 
0.105402  2.216263 
0.107429  2.153152 
0.109456  2.089600 
0.111483  2.025653 
0.113510  1.961355 
0.115537  1.896756 
0.117564  1.831903 
0.119591  1.766848 
0.121618  1.701643 
0.123645  1.636341 
0.125671  1.571000 
0.127698  1.505677 
0.129725  1.440431 
0.131752  1.375326 
0.133779  1.310425 
0.135806  1.245795 
0.137833  1.181505 
0.139860  1.117626 
0.141887  1.054231 
0.143914  0.991396 
0.145941  0.929198 
0.147968  0.867717 
0.149995  0.807032 
0.152022  0.747225 
0.154049  0.688377 
0.156076  0.630568 
0.158103  0.573876 
0.160130  0.518370 
0.162157  0.464113 
0.164184  0.411148 
0.166211  0.359491 
0.168238  0.309106 
0.170265  0.259866 
0.172291  0.211450 
0.174318  0.163095 
0.176345  0.112668 
0.178372  0.049834 
0.180399  -0.067406 
0.182426  -0.094310 
0.184453  -0.105192 
0.186480  -0.107400 
0.188507  -0.103712 
0.190534  -0.095657 
0.192561  -0.084256 
0.194588  -0.070275 
0.196615  -0.054338 
0.198642  -0.036989 
0.200669  -0.018721 
0.202696  -0.000000 


0.000000  4.066041 
0.002027  4.065476 
0.004054  4.063730 
0.006081  4.060733 
0.008108  4.056421 
0.010135  4.050733 
0.012162  4.043620 
0.014189  4.035037 
0.016216  4.024948 
0.018243  4.013322 
0.020270  4.000138 
0.022297  3.985378 
0.024324  3.969032 
0.026350  3.951097 
0.028377  3.931571 
0.030404  3.910460 
0.032431  3.887773 
0.034458  3.863521 
0.036485  3.837719 
0.038512  3.810385 
0.040539  3.783557 
0.042566  3.796434 
0.044593  3.808044 
0.046620  3.817976 
0.048647  3.825741 
0.050674  3.830779 
0.052701  3.832468 
0.054728  3.830185 
0.056755  3.823397 
0.058782  3.811776 
0.060809  3.795283 
0.062836  3.774174 
0.064863  3.748916 
0.066890  3.720072 
0.068917  3.688201 
0.070944  3.653799 
0.072970  3.617278 
0.074997  3.578969 
0.077024  3.539131 
0.079051  3.497967 
0.081078  3.455636 
0.083105  3.412260 
0.085132  3.367940 
0.087159  3.322752 
0.089186  3.276761 
0.091213  3.230017 
0.093240  3.182564 
0.095267  3.134438 
0.097294  3.085668 
0.099321  3.036283 
0.101348  2.986304 
0.103375  2.935753 
0.105402  2.884646 
0.107429  2.833002 
0.109456  2.780835 
0.111483  2.728160 
0.113510  2.674989 
0.115537  2.621336 
0.117564  2.567211 
0.119591  2.512627 
0.121618  2.457594 
0.123645  2.402123 
0.125671  2.346224 
0.127698  2.289907 
0.129725  2.233181 
0.131752  2.176056 
0.133779  2.118541 
0.135806  2.060646 
0.137833  2.002379 
0.139860  1.943749 
0.141887  1.884767 
0.143914  1.825439 
0.145941  1.765777 
0.147968  1.705787 
0.149995  1.645480 
0.152022  1.584865 
0.154049  1.523951 
0.156076  1.462747 
0.158103  1.401264 
0.160130  1.339510 
0.162157  1.277496 
0.164184  1.215232 
0.166211  1.152728 
