# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.10134790 
0.000000  3.193809 
0.001014  3.194138 
0.002027  3.195126 
0.003040  3.196769 
0.004054  3.199065 
0.005067  3.202008 
0.006081  3.205593 
0.007094  3.209812 
0.008108  3.214655 
0.009121  3.220114 
0.010135  3.226175 
0.011148  3.232827 
0.012162  3.240055 
0.013175  3.247844 
0.014189  3.256178 
0.015202  3.265040 
0.016216  3.274410 
0.017229  3.284269 
0.018243  3.294596 
0.019256  3.305369 
0.020270  3.316566 
0.021283  3.328162 
0.022297  3.340133 
0.023310  3.352453 
0.024324  3.365095 
0.025337  3.378030 
0.026350  3.391231 
0.027364  3.404666 
0.028377  3.418306 
0.029391  3.432117 
0.030404  3.446066 
0.031418  3.460119 
0.032431  3.474239 
0.033445  3.488391 
0.034458  3.502534 
0.035472  3.516630 
0.036485  3.530637 
0.037499  3.544511 
0.038512  3.558210 
0.039526  3.571686 
0.040539  3.584893 
0.041553  3.597782 
0.042566  3.610305 
0.043580  3.622411 
0.044593  3.634050 
0.045607  3.645172 
0.046620  3.655727 
0.047634  3.665669 
0.048647  3.674950 
0.049661  3.683531 
0.050674  3.691372 
0.051687  3.698441 
0.052701  3.704712 
0.053714  3.710165 
0.054728  3.714790 
0.055741  3.718581 
0.056755  3.721545 
0.057768  3.723693 
0.058782  3.725046 
0.059795  3.725631 
0.060809  3.725483 
0.061822  3.724641 
0.062836  3.723146 
0.063849  3.721048 
0.064863  3.718393 
0.065876  3.715231 
0.066890  3.711615 
0.067903  3.707593 
0.068917  3.703216 
0.069930  3.698530 
0.070944  3.693584 
0.071957  3.688422 
0.072970  3.683087 
0.073984  3.677620 
0.074997  3.672058 
0.076011  3.666439 
0.077024  3.660797 
0.078038  3.655164 
0.079051  3.649571 
0.080065  3.644046 
0.081078  3.638616 
0.082092  3.633305 
0.083105  3.628137 
0.084119  3.623133 
0.085132  3.618314 
0.086146  3.613697 
0.087159  3.609301 
0.088173  3.605140 
0.089186  3.601231 
0.090200  3.597585 
0.091213  3.594216 
0.092227  3.591134 
0.093240  3.588349 
0.094254  3.585870 
0.095267  3.583705 
0.096281  3.581861 
0.097294  3.580344 
0.098308  3.579158 
0.099321  3.578308 
0.100334  3.577796 
0.101348  3.577625 


0.000000  3.953928 
0.001014  3.953887 
0.002027  3.953763 
0.003040  3.953557 
0.004054  3.953271 
0.005067  3.952907 
0.006081  3.952466 
0.007094  3.951952 
0.008108  3.951369 
0.009121  3.950719 
0.010135  3.950008 
0.011148  3.949239 
0.012162  3.948419 
0.013175  3.947552 
0.014189  3.946644 
0.015202  3.945701 
0.016216  3.944729 
0.017229  3.943735 
0.018243  3.942725 
0.019256  3.941705 
0.020270  3.940683 
0.021283  3.939666 
0.022297  3.938659 
0.023310  3.937671 
0.024324  3.936708 
0.025337  3.935776 
0.026350  3.934883 
0.027364  3.934034 
0.028377  3.933237 
0.029391  3.932498 
0.030404  3.931822 
0.031418  3.931216 
0.032431  3.930685 
0.033445  3.930235 
0.034458  3.929870 
0.035472  3.929596 
0.036485  3.929418 
0.037499  3.929339 
0.038512  3.929364 
0.039526  3.929496 
0.040539  3.929739 
0.041553  3.930096 
0.042566  3.930569 
0.043580  3.931162 
0.044593  3.931875 
0.045607  3.932711 
0.046620  3.933671 
0.047634  3.934756 
0.048647  3.935966 
0.049661  3.937302 
0.050674  3.938764 
0.051687  3.940351 
0.052701  3.942061 
0.053714  3.943895 
0.054728  3.945850 
0.055741  3.947925 
0.056755  3.950116 
0.057768  3.952422 
0.058782  3.954839 
0.059795  3.957363 
0.060809  3.959991 
0.061822  3.962718 
0.062836  3.965540 
0.063849  3.968453 
0.064863  3.971449 
0.065876  3.974525 
0.066890  3.977674 
0.067903  3.980889 
0.068917  3.984165 
0.069930  3.987493 
0.070944  3.990866 
0.071957  3.994278 
0.072970  3.997719 
0.073984  4.001181 
0.074997  4.004657 
0.076011  4.008136 
0.077024  4.011610 
0.078038  4.015069 
0.079051  4.018504 
0.080065  4.021904 
0.081078  4.025260 
0.082092  4.028560 
0.083105  4.031795 
0.084119  4.034953 
0.085132  4.038024 
0.086146  4.040997 
0.087159  4.043860 
0.088173  4.046601 
0.089186  4.049211 
0.090200  4.051676 
0.091213  4.053986 
0.092227  4.056129 
0.093240  4.058093 
0.094254  4.059868 
0.095267  4.061442 
0.096281  4.062803 
