# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.21336410 
0.000000  3.701138 
0.002134  3.701931 
0.004267  3.704322 
0.006401  3.708317 
0.008535  3.713913 
0.010668  3.721100 
0.012802  3.729855 
0.014936  3.740146 
0.017069  3.751936 
0.019203  3.765174 
0.021336  3.779806 
0.023470  3.795768 
0.025604  3.812988 
0.027737  3.831392 
0.029871  3.850894 
0.032005  3.871407 
0.034138  3.892837 
0.036272  3.915083 
0.038406  3.938042 
0.040539  3.961601 
0.042673  3.985643 
0.044806  4.010042 
0.046940  4.034663 
0.049074  4.059355 
0.051207  4.083947 
0.053341  4.070328 
0.055475  4.027656 
0.057608  3.983459 
0.059742  3.937755 
0.061876  3.890567 
0.064009  3.841917 
0.066143  3.791827 
0.068277  3.740321 
0.070410  3.687424 
0.072544  3.633162 
0.074677  3.577563 
0.076811  3.520655 
0.078945  3.462469 
0.081078  3.403036 
0.083212  3.342390 
0.085346  3.280567 
0.087479  3.217601 
0.089613  3.153531 
0.091746  3.088396 
0.093880  3.022235 
0.096014  2.955091 
0.098147  2.887006 
0.100281  2.818023 
0.102415  2.748188 
0.104548  2.677545 
0.106682  2.606142 
0.108816  2.534025 
0.110949  2.461244 
0.113083  2.387846 
0.115217  2.313882 
0.117350  2.239402 
0.119484  2.164457 
0.121618  2.089099 
0.123751  2.013380 
0.125885  1.937353 
0.128018  1.861072 
0.130152  1.784591 
0.132286  1.707965 
0.134419  1.631249 
0.136553  1.554498 
0.138687  1.477768 
0.140820  1.401114 
0.142954  1.324589 
0.145088  1.248247 
0.147221  1.172138 
0.149355  1.096308 
0.151488  1.020796 
0.153622  0.945634 
0.155756  0.870838 
0.157889  0.796404 
0.160023  0.722292 
0.162157  0.648411 
0.164290  0.574583 
0.166424  0.500474 
0.168558  0.425468 
0.170691  0.348340 
0.172825  0.266331 
0.174958  0.171043 
0.177092  -0.065373 
0.179226  -0.174019 
0.181359  -0.222341 
0.183493  -0.249861 
0.185627  -0.264562 
0.187760  -0.269946 
0.189894  -0.268000 
0.192028  -0.260033 
0.194161  -0.247000 
0.196295  -0.229652 
0.198429  -0.208618 
0.200562  -0.184449 
0.202696  -0.157645 
0.204829  -0.128678 
0.206963  -0.097996 
0.209097  -0.066037 
0.211230  -0.033230 
0.213364  -0.000000 


0.000000  4.590958 
0.002134  4.590295 
0.004267  4.588243 
0.006401  4.584709 
0.008535  4.579614 
0.010668  4.572888 
0.012802  4.564475 
0.014936  4.554329 
0.017069  4.542414 
0.019203  4.528707 
0.021336  4.513194 
0.023470  4.495868 
0.025604  4.476732 
0.027737  4.455792 
0.029871  4.433060 
0.032005  4.408553 
0.034138  4.382289 
0.036272  4.354288 
0.038406  4.324571 
0.040539  4.293160 
0.042673  4.260077 
0.044806  4.225344 
0.046940  4.188981 
0.049074  4.151011 
0.051207  4.111453 
0.053341  4.108242 
0.055475  4.131997 
0.057608  4.154895 
0.059742  4.176505 
0.061876  4.196192 
0.064009  4.212969 
0.066143  4.225262 
0.068277  4.230702 
0.070410  4.226495 
0.072544  4.211064 
0.074677  4.185518 
0.076811  4.152584 
0.078945  4.114751 
0.081078  4.073670 
0.083212  4.030329 
0.085346  3.985312 
0.087479  3.938973 
0.089613  3.891532 
0.091746  3.843129 
0.093880  3.793858 
0.096014  3.743784 
0.098147  3.692949 
0.100281  3.641385 
0.102415  3.589111 
0.104548  3.536142 
0.106682  3.482489 
0.108816  3.428159 
0.110949  3.373154 
0.113083  3.317479 
0.115217  3.261134 
0.117350  3.204120 
0.119484  3.146435 
0.121618  3.088078 
0.123751  3.029049 
0.125885  2.969345 
0.128018  2.908965 
0.130152  2.847908 
0.132286  2.786172 
0.134419  2.723755 
0.136553  2.660658 
0.138687  2.596879 
0.140820  2.532418 
0.142954  2.467277 
0.145088  2.401456 
0.147221  2.334957 
0.149355  2.267784 
0.151488  2.199939 
0.153622  2.131427 
0.155756  2.062254 
0.157889  1.992426 
0.160023  1.921952 
0.162157  1.850840 
0.164290  1.779100 
0.166424  1.706744 
0.168558  1.633786 
0.170691  1.560239 
0.172825  1.486118 
0.174958  1.411443 
0.177092  1.336230 
0.179226  1.260500 
0.181359  1.184275 
0.183493  1.107578 
0.185627  1.030432 
0.187760  0.952864 
0.189894  0.874901 
0.192028  0.796570 
0.194161  0.717902 
0.196295  0.638926 
0.198429  0.559674 
0.200562  0.480179 
0.202696  0.400474 
0.204829  0.320592 
0.206963  0.240569 
0.209097  0.160439 
0.211230  0.080237 
0.213364  0.000000 


0.000000  5.333349 
0.002134  5.331797 
0.004267  5.327185 
0.006401  5.319603 
0.008535  5.309176 
0.010668  5.296047 
0.012802  5.280379 
0.014936  5.262344 
0.017069  5.242115 
0.019203  5.219865 
0.021336  5.195761 
0.023470  5.169960 
0.025604  5.142611 
0.027737  5.113850 
0.029871  5.083803 
0.032005  5.052583 
0.034138  5.020296 
0.036272  4.987038 
0.038406  4.952895 
0.040539  4.917951 
0.042673  4.882281 
0.044806  4.845963 
0.046940  4.809074 
0.049074  4.771698 
0.051207  4.733928 
0.053341  4.695885 
0.055475  4.657722 
0.057608  4.619660 
0.059742  4.582033 
0.061876  4.545368 
0.064009  4.510541 
0.066143  4.479005 
0.068277  4.453005 
0.070410  4.435204 
0.072544  4.427041 
0.074677  4.427260 
0.076811  4.432985 
0.078945  4.441568 
0.081078  4.451195 
0.083212  4.460707 
0.085346  4.469347 
0.087479  4.476585 
0.089613  4.482023 
0.091746  4.485340 
0.093880  4.486268 
0.096014  4.484573 
0.098147  4.480048 
0.100281  4.472510 
0.102415  4.461801 
0.104548  4.447781 
0.106682  4.430334 
0.108816  4.409369 
0.110949  4.384814 
0.113083  4.356621 
0.115217  4.324764 
0.117350  4.289235 
0.119484  4.250048 
0.121618  4.207230 
0.123751  4.160825 
0.125885  4.110886 
0.128018  4.057478 
0.130152  4.000672 
0.132286  3.940546 
0.134419  3.877180 
0.136553  3.810660 
0.138687  3.741068 
0.140820  3.668491 
0.142954  3.593014 
0.145088  3.514721 
0.147221  3.433695 
0.149355  3.350017 
0.151488  3.263769 
0.153622  3.175030 
0.155756  3.083879 
0.157889  2.990392 
0.160023  2.894647 
0.162157  2.796719 
0.164290  2.696684 
0.166424  2.594619 
0.168558  2.490599 
0.170691  2.384700 
0.172825  2.277001 
0.174958  2.167580 
0.177092  2.056514 
0.179226  1.943885 
0.181359  1.829773 
0.183493  1.714263 
0.185627  1.597437 
0.187760  1.479382 
0.189894  1.360185 
0.192028  1.239935 
0.194161  1.118723 
0.196295  0.996638 
0.198429  0.873776 
0.200562  0.750230 
0.202696  0.626096 
0.204829  0.501469 
0.206963  0.376448 
0.209097  0.251131 
0.211230  0.125615 
0.213364  0.000000 


0.000000  6.087321 
0.002134  6.087812 
0.004267  6.089293 
0.006401  6.091760 
0.008535  6.095192 
0.010668  6.099541 
0.012802  6.104741 
0.014936  6.110698 
0.017069  6.117291 
0.019203  6.124372 
0.021336  6.131760 
0.023470  6.139244 
0.025604  6.146578 
0.027737  6.153482 
0.029871  6.159642 
0.032005  6.164723 
0.034138  6.168380 
0.036272  6.170286 
0.038406  6.170164 
0.040539  6.167818 
0.042673  6.163162 
0.044806  6.156220 
0.046940  6.147110 
0.049074  6.136018 
0.051207  6.123161 
0.053341  6.108765 
0.055475  6.093043 
0.057608  6.076191 
0.059742  6.058380 
0.061876  6.039758 
0.064009  6.020452 
0.066143  6.000572 
0.068277  5.980210 
0.070410  5.959447 
0.072544  5.938352 
0.074677  5.916984 
