# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.13666560 
0.000000  1.957278 
0.001367  1.947276 
0.002733  1.935282 
0.004100  1.922878 
0.005467  1.910120 
0.006833  1.897029 
0.008200  1.883620 
0.009567  1.869905 
0.010933  1.855893 
0.012300  1.841591 
0.013667  1.827005 
0.015033  1.812140 
0.016400  1.796999 
0.017767  1.781584 
0.019133  1.765898 
0.020500  1.749940 
0.021867  1.733710 
0.023233  1.717208 
0.024600  1.700432 
0.025966  1.683380 
0.027333  1.666051 
0.028700  1.648442 
0.030066  1.630549 
0.031433  1.612370 
0.032800  1.593901 
0.034166  1.575139 
0.035533  1.556082 
0.036900  1.536726 
0.038266  1.517067 
0.039633  1.497104 
0.041000  1.476834 
0.042366  1.456256 
0.043733  1.435367 
0.045100  1.414168 
0.046466  1.392659 
0.047833  1.370840 
0.049200  1.348713 
0.050566  1.326281 
0.051933  1.303547 
0.053300  1.280517 
0.054666  1.257196 
0.056033  1.233591 
0.057399  1.209711 
0.058766  1.185563 
0.060133  1.161161 
0.061499  1.136513 
0.062866  1.111634 
0.064233  1.086537 
0.065600  1.061237 
0.066966  1.035749 
0.068333  1.010091 
0.069699  0.984278 
0.071066  0.958331 
0.072433  0.932266 
0.073799  0.906105 
0.075166  0.879866 
0.076533  0.853570 
0.077899  0.827238 
0.079266  0.800892 
0.080633  0.774554 
0.081999  0.748244 
0.083366  0.721987 
0.084733  0.695804 
0.086099  0.669719 
0.087466  0.643756 
0.088833  0.617938 
0.090199  0.592290 
0.091566  0.566837 
0.092933  0.541604 
0.094299  0.516617 
0.095666  0.491903 
0.097032  0.467488 
0.098399  0.443399 
0.099766  0.419666 
0.101133  0.396316 
0.102499  0.373379 
0.103866  0.350884 
0.105233  0.328862 
0.106599  0.307343 
0.107966  0.286357 
0.109332  0.265936 
0.110699  0.246109 
0.112066  0.226906 
0.113432  0.208357 
0.114799  0.190487 
0.116166  0.173324 
0.117532  0.156888 
0.118899  0.141200 
0.120266  0.126273 
0.121632  0.112117 
0.122999  0.098732 
0.124366  0.086113 
