# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.07872240 
0.000000  -0.001137 
0.000787  0.002859 
0.001574  0.006038 
0.002362  0.009197 
0.003149  0.012413 
0.003936  0.015717 
0.004723  0.019134 
0.005511  0.022685 
0.006298  0.026389 
0.007085  0.030262 
0.007872  0.034320 
0.008660  0.038576 
0.009447  0.043040 
0.010234  0.047725 
0.011021  0.052636 
0.011808  0.057784 
0.012596  0.063172 
0.013383  0.068807 
0.014170  0.074693 
0.014957  0.080834 
0.015745  0.087232 
0.016532  0.093889 
0.017319  0.100808 
0.018106  0.107990 
0.018893  0.115435 
0.019681  0.123144 
0.020468  0.131118 
0.021255  0.139357 
0.022042  0.147861 
0.022829  0.156630 
0.023617  0.165664 
0.024404  0.174961 
0.025191  0.184523 
0.025978  0.194348 
0.026766  0.204435 
0.027553  0.214784 
0.028340  0.225394 
0.029127  0.236265 
0.029915  0.247395 
0.030702  0.258784 
0.031489  0.270430 
0.032276  0.282332 
0.033063  0.294489 
0.033851  0.306900 
0.034638  0.319563 
0.035425  0.332477 
0.036212  0.345640 
0.036999  0.359050 
0.037787  0.372705 
0.038574  0.386604 
0.039361  0.400744 
0.040148  0.415122 
0.040936  0.429736 
0.041723  0.444584 
0.042510  0.459662 
0.043297  0.474968 
0.044084  0.490497 
0.044872  0.506248 
0.045659  0.522215 
0.046446  0.538396 
0.047233  0.554786 
0.048021  0.571381 
0.048808  0.588176 
0.049595  0.605168 
0.050382  0.622351 
0.051169  0.639721 
0.051957  0.657272 
0.052744  0.675000 
0.053531  0.692898 
0.054318  0.710961 
0.055106  0.729183 
0.055893  0.747558 
0.056680  0.766081 
0.057467  0.784743 
0.058255  0.803540 
0.059042  0.822463 
0.059829  0.841506 
0.060616  0.860659 
0.061403  0.879912 
0.062191  0.899249 
0.062978  0.918633 
0.063765  0.937867 
0.064552  0.941998 
0.065340  0.910961 
0.066127  0.875915 
0.066914  0.837593 
0.067701  0.796117 
0.068488  0.751602 
0.069276  0.704178 
0.070063  0.653996 
