# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.09652180 
0.000000  2.873061 
0.000965  2.873351 
0.001930  2.874222 
0.002896  2.875671 
0.003861  2.877696 
0.004826  2.880294 
0.005791  2.883461 
0.006757  2.887190 
0.007722  2.891476 
0.008687  2.896311 
0.009652  2.901687 
0.010617  2.907596 
0.011583  2.914026 
0.012548  2.920968 
0.013513  2.928410 
0.014478  2.936339 
0.015444  2.944744 
0.016409  2.953609 
0.017374  2.962922 
0.018339  2.972666 
0.019304  2.982826 
0.020270  2.993386 
0.021235  3.004330 
0.022200  3.015641 
0.023165  3.027299 
0.024130  3.039289 
0.025096  3.051590 
0.026061  3.064184 
0.027026  3.077051 
0.027991  3.090173 
0.028957  3.103527 
0.029922  3.117095 
0.030887  3.130854 
0.031852  3.144784 
0.032817  3.158862 
0.033783  3.173067 
0.034748  3.187376 
0.035713  3.201766 
0.036678  3.216213 
0.037644  3.230693 
0.038609  3.245183 
0.039574  3.259657 
0.040539  3.274089 
0.041504  3.288453 
0.042470  3.302723 
0.043435  3.316871 
0.044400  3.330869 
0.045365  3.344689 
0.046330  3.358301 
0.047296  3.371674 
0.048261  3.384780 
0.049226  3.397586 
0.050191  3.410061 
0.051157  3.422173 
0.052122  3.433891 
0.053087  3.445184 
0.054052  3.456019 
0.055017  3.461904 
0.055983  3.465649 
0.056948  3.469452 
0.057913  3.473307 
0.058878  3.477210 
0.059844  3.481157 
0.060809  3.485142 
0.061774  3.489160 
0.062739  3.493205 
0.063704  3.497272 
0.064670  3.501355 
0.065635  3.505446 
0.066600  3.509541 
0.067565  3.513631 
0.068530  3.517710 
0.069496  3.521771 
0.070461  3.525806 
0.071426  3.529808 
0.072391  3.533770 
0.073357  3.537682 
0.074322  3.541537 
0.075287  3.545327 
0.076252  3.548584 
0.077217  3.547067 
0.078183  3.545368 
0.079148  3.543523 
0.080113  3.541570 
0.081078  3.539543 
0.082044  3.537477 
0.083009  3.535402 
0.083974  3.533346 
0.084939  3.531336 
0.085904  3.529398 
0.086870  3.527553 
0.087835  3.525822 
0.088800  3.524223 
0.089765  3.522772 
0.090731  3.521485 
0.091696  3.520373 
0.092661  3.519447 
0.093626  3.518717 
0.094591  3.518189 
0.095557  3.517870 
0.096522  3.517763 


0.000000  3.373507 
0.000965  3.373520 
0.001930  3.373562 
0.002896  3.373632 
0.003861  3.373730 
0.004826  3.373858 
0.005791  3.374016 
0.006757  3.374204 
0.007722  3.374425 
0.008687  3.374679 
0.009652  3.374967 
0.010617  3.375292 
0.011583  3.375655 
0.012548  3.376058 
0.013513  3.376502 
0.014478  3.376990 
0.015444  3.377524 
0.016409  3.378105 
0.017374  3.378737 
0.018339  3.379422 
0.019304  3.380161 
0.020270  3.380958 
0.021235  3.381814 
0.022200  3.382732 
0.023165  3.383715 
0.024130  3.384764 
0.025096  3.385882 
0.026061  3.387072 
0.027026  3.388335 
0.027991  3.389674 
0.028957  3.391090 
0.029922  3.392585 
0.030887  3.394162 
0.031852  3.395822 
0.032817  3.397567 
0.033783  3.399398 
0.034748  3.401315 
0.035713  3.403322 
0.036678  3.405417 
0.037644  3.407603 
0.038609  3.409879 
0.039574  3.412246 
0.040539  3.414704 
0.041504  3.417253 
0.042470  3.419893 
0.043435  3.422623 
0.044400  3.425442 
0.045365  3.428350 
0.046330  3.431346 
0.047296  3.434427 
0.048261  3.437592 
0.049226  3.440839 
0.050191  3.444166 
0.051157  3.447570 
0.052122  3.451050 
0.053087  3.454600 
0.054052  3.458220 
0.055017  3.466368 
0.055983  3.476200 
0.056948  3.485489 
0.057913  3.494210 
0.058878  3.502341 
0.059844  3.509862 
0.060809  3.516758 
0.061774  3.523020 
0.062739  3.528641 
0.063704  3.533620 
0.064670  3.537962 
0.065635  3.541677 
0.066600  3.544780 
0.067565  3.547292 
0.068530  3.549239 
0.069496  3.550649 
0.070461  3.551556 
0.071426  3.551996 
0.072391  3.552007 
0.073357  3.551630 
0.074322  3.550907 
0.075287  3.549877 
0.076252  3.549043 
0.077217  3.552677 
0.078183  3.556220 
0.079148  3.559663 
0.080113  3.562998 
0.081078  3.566215 
0.082044  3.569306 
0.083009  3.572261 
0.083974  3.575072 
0.084939  3.577729 
0.085904  3.580223 
0.086870  3.582546 
0.087835  3.584689 
0.088800  3.586641 
0.089765  3.588396 
0.090731  3.589943 
0.091696  3.591275 
0.092661  3.592382 
0.093626  3.593258 
0.094591  3.593893 
0.095557  3.594279 
0.096522  3.594410 


0.000000  4.664792 
0.000965  4.664606 
0.001930  4.664045 
0.002896  4.663112 
0.003861  4.661807 
0.004826  4.660131 
0.005791  4.658087 
0.006757  4.655677 
0.007722  4.652904 
0.008687  4.649771 
0.009652  4.646281 
0.010617  4.642438 
0.011583  4.638248 
0.012548  4.633714 
0.013513  4.628842 
0.014478  4.623639 
0.015444  4.618110 
0.016409  4.612262 
0.017374  4.606102 
0.018339  4.599637 
0.019304  4.592877 
0.020270  4.585829 
0.021235  4.578502 
0.022200  4.570905 
0.023165  4.563050 
0.024130  4.554946 
0.025096  4.546604 
0.026061  4.538037 
0.027026  4.529255 
0.027991  4.520272 
0.028957  4.511101 
0.029922  4.501756 
0.030887  4.492251 
0.031852  4.482602 
0.032817  4.472824 
0.033783  4.462934 
0.034748  4.452949 
0.035713  4.442887 
0.036678  4.432767 
0.037644  4.422608 
0.038609  4.412432 
0.039574  4.402258 
0.040539  4.392109 
0.041504  4.382009 
0.042470  4.371982 
0.043435  4.362051 
0.044400  4.352245 
0.045365  4.342589 
0.046330  4.333111 
0.047296  4.323841 
0.048261  4.314807 
0.049226  4.306041 
0.050191  4.297574 
0.051157  4.289436 
0.052122  4.281659 
0.053087  4.274276 
0.054052  4.267318 
0.055017  4.260815 
0.055983  4.254796 
0.056948  4.249290 
0.057913  4.244323 
0.058878  4.239915 
0.059844  4.236088 
0.060809  4.232857 
0.061774  4.230233 
0.062739  4.228220 
0.063704  4.226822 
0.064670  4.226031 
0.065635  4.225838 
0.066600  4.226227 
0.067565  4.227176 
0.068530  4.228658 
0.069496  4.230642 
0.070461  4.233092 
0.071426  4.235970 
0.072391  4.239233 
0.073357  4.242838 
0.074322  4.246740 
0.075287  4.250892 
0.076252  4.255248 
0.077217  4.259761 
0.078183  4.264386 
0.079148  4.269077 
0.080113  4.273792 
0.081078  4.278487 
0.082044  4.283123 
0.083009  4.287659 
0.083974  4.292060 
0.084939  4.296290 
0.085904  4.300316 
0.086870  4.304108 
0.087835  4.307635 
0.088800  4.310872 
0.089765  4.313794 
0.090731  4.316378 
0.091696  4.318605 
0.092661  4.320457 
0.093626  4.321917 
0.094591  4.322973 
0.095557  4.323613 
0.096522  4.323828 


0.000000  4.907595 
0.000965  4.907730 
0.001930  4.908137 
0.002896  4.908813 
0.003861  4.909760 
0.004826  4.910974 
0.005791  4.912455 
0.006757  4.914202 
0.007722  4.916211 
0.008687  4.918480 
0.009652  4.921007 
0.010617  4.923789 
0.011583  4.926821 
0.012548  4.930101 
0.013513  4.933624 
0.014478  4.937386 
0.015444  4.941383 
0.016409  4.945609 
0.017374  4.950061 
0.018339  4.954731 
0.019304  4.959615 
0.020270  4.964708 
0.021235  4.970002 
0.022200  4.975492 
0.023165  4.981172 
0.024130  4.987035 
0.025096  4.993074 
0.026061  4.999281 
0.027026  5.005651 
0.027991  5.012176 
0.028957  5.018848 
0.029922  5.025660 
0.030887  5.032604 
0.031852  5.039672 
0.032817  5.046857 
0.033783  5.054150 
0.034748  5.061543 
0.035713  5.069028 
0.036678  5.076596 
0.037644  5.084240 
0.038609  5.091950 
0.039574  5.099718 
0.040539  5.107535 
0.041504  5.115392 
0.042470  5.123280 
0.043435  5.131191 
0.044400  5.139115 
0.045365  5.147043 
0.046330  5.154965 
0.047296  5.162871 
0.048261  5.170753 
0.049226  5.178599 
0.050191  5.186399 
0.051157  5.194143 
0.052122  5.201819 
0.053087  5.209415 
0.054052  5.216918 
0.055017  5.224314 
0.055983  5.231588 
0.056948  5.238723 
0.057913  5.245700 
0.058878  5.252496 
0.059844  5.259084 
0.060809  5.265434 
0.061774  5.271505 
0.062739  5.277252 
0.063704  5.282618 
0.064670  5.287535 
0.065635  5.291928 
0.066600  5.295718 
0.067565  5.298836 
0.068530  5.301240 
0.069496  5.302928 
0.070461  5.303946 
0.071426  5.304373 
0.072391  5.304309 
0.073357  5.303855 
0.074322  5.303100 
0.075287  5.302122 
0.076252  5.300984 
0.077217  5.299735 
0.078183  5.298414 
0.079148  5.297052 
0.080113  5.295676 
0.081078  5.294305 
0.082044  5.292956 
0.083009  5.291643 
0.083974  5.290379 
0.084939  5.289174 
0.085904  5.288036 
0.086870  5.286973 
0.087835  5.285991 
0.088800  5.285098 
0.089765  5.284298 
0.090731  5.283595 
0.091696  5.282994 
0.092661  5.282498 
0.093626  5.282109 
0.094591  5.281830 
0.095557  5.281662 
0.096522  5.281606 


0.000000  5.458644 
0.000965  5.458614 
0.001930  5.458526 
0.002896  5.458379 
0.003861  5.458173 
0.004826  5.457908 
0.005791  5.457584 
0.006757  5.457202 
0.007722  5.456761 
0.008687  5.456262 
0.009652  5.455705 
0.010617  5.455090 
0.011583  5.454417 
0.012548  5.453686 
0.013513  5.452897 
0.014478  5.452052 
0.015444  5.451149 
0.016409  5.450190 
0.017374  5.449175 
0.018339  5.448104 
0.019304  5.446977 
0.020270  5.445795 
0.021235  5.444558 
0.022200  5.443267 
