# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.17553980 
0.000000  -0.000000 
0.001755  -0.016229 
0.003511  -0.032165 
0.005266  -0.047507 
0.007022  -0.061941 
0.008777  -0.075132 
0.010532  -0.086707 
0.012288  -0.096238 
0.014043  -0.103207 
0.015799  -0.106949 
0.017554  -0.106523 
0.019309  -0.100426 
0.021065  -0.085689 
0.022820  -0.052870 
0.024576  0.062371 
0.026331  0.114255 
0.028086  0.158243 
0.029842  0.200486 
0.031597  0.242608 
0.033353  0.285255 
0.035108  0.328726 
0.036863  0.373165 
0.038619  0.418635 
0.040374  0.465153 
0.042130  0.512711 
0.043885  0.561284 
0.045640  0.610835 
0.047396  0.661322 
0.049151  0.712697 
0.050907  0.764911 
0.052662  0.817911 
0.054417  0.871645 
0.056173  0.926062 
0.057928  0.981107 
0.059684  1.036731 
0.061439  1.092880 
0.063194  1.149505 
0.064950  1.206556 
0.066705  1.263985 
0.068460  1.321746 
0.070216  1.379792 
0.071971  1.438078 
0.073727  1.496561 
0.075482  1.555198 
0.077238  1.613949 
0.078993  1.672773 
0.080748  1.731631 
0.082504  1.790486 
0.084259  1.849300 
0.086014  1.908039 
0.087770  1.966666 
0.089525  2.025148 
0.091281  2.083453 
0.093036  2.141546 
0.094792  2.199398 
0.096547  2.256975 
0.098302  2.314249 
0.100058  2.371188 
0.101813  2.427763 
0.103568  2.483944 
0.105324  2.539701 
0.107079  2.595005 
0.108835  2.649826 
0.110590  2.704134 
0.112345  2.757899 
0.114101  2.811090 
0.115856  2.851148 
0.117612  2.873038 
0.119367  2.894126 
0.121122  2.914414 
0.122878  2.933903 
0.124633  2.952598 
0.126389  2.970502 
0.128144  2.987621 
0.129899  3.003962 
0.131655  3.019532 
0.133410  3.034340 
0.135166  3.048397 
0.136921  3.061712 
0.138676  3.074298 
0.140432  3.086167 
0.142187  3.097332 
0.143943  3.107806 
0.145698  3.117604 
0.147453  3.126740 
0.149209  3.135229 
0.150964  3.143085 
0.152720  3.150323 
0.154475  3.156957 
0.156230  3.163002 
0.157986  3.168470 
0.159741  3.173375 
0.161497  3.177728 
0.163252  3.181541 
0.165007  3.184824 
0.166763  3.187586 
0.168518  3.189835 
0.170274  3.191578 
0.172029  3.192818 
0.173784  3.193561 
0.175540  3.193809 


0.000000  0.000000 
0.001755  0.056088 
0.003511  0.112149 
0.005266  0.168159 
0.007022  0.224090 
0.008777  0.279917 
0.010532  0.335616 
0.012288  0.391160 
0.014043  0.446527 
0.015799  0.501691 
0.017554  0.556630 
0.019309  0.611322 
0.021065  0.665744 
0.022820  0.719876 
0.024576  0.773698 
0.026331  0.827190 
0.028086  0.880334 
0.029842  0.933112 
0.031597  0.985509 
0.033353  1.037508 
0.035108  1.089095 
0.036863  1.140255 
0.038619  1.190975 
0.040374  1.241244 
0.042130  1.291049 
0.043885  1.340380 
0.045640  1.389226 
0.047396  1.437577 
0.049151  1.485426 
0.050907  1.532762 
0.052662  1.579578 
0.054417  1.625866 
0.056173  1.671618 
0.057928  1.716826 
0.059684  1.761484 
0.061439  1.805584 
0.063194  1.849118 
0.064950  1.892081 
0.066705  1.934464 
0.068460  1.976259 
0.070216  2.017459 
0.071971  2.058057 
0.073727  2.098044 
0.075482  2.137412 
0.077238  2.176152 
0.078993  2.214256 
0.080748  2.251714 
0.082504  2.288518 
0.084259  2.324658 
0.086014  2.360124 
0.087770  2.394907 
0.089525  2.428996 
